dagG31.txt 3_2x4.txt True 0.038135593220338986 0.07 505.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 1, 3, 1, 1, 3, 3, 1, 3, 3] 
dagG31.txt 3_2x4.txt True 0.07627118644067797 0.1 486.5 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 1, 3, 3, 1, 3, 1, 1, 3, 3, 1, 3, 1] 
dagG31.txt 3_2x4.txt True 0.1059322033898305 0.15 465.25 [1, 6, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 3, 1, 3, 3, 1, 3, 3, 1, 1] 
dagG31.txt 3_2x4.txt True 0.1652542372881356 0.2 454.0 [2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 6, 3, 3, 5, 3, 1, 3, 3, 1, 3, 6, 6, 3, 5, 0, 3, 3] 
dagG31.txt 3_2x4.txt True 0.1652542372881356 0.3 454.0 [2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 6, 3, 3, 5, 3, 1, 3, 3, 1, 3, 6, 6, 3, 5, 0, 3, 3] 
dagG31.txt 3_2x4.txt True 0.1652542372881356 0.4 454.0 [2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 6, 3, 3, 5, 3, 1, 3, 3, 1, 3, 6, 6, 3, 5, 0, 3, 3] 
dagG31.txt 3_2x4.txt True 0.1652542372881356 0.5 454.0 [2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 6, 3, 3, 5, 3, 1, 3, 3, 1, 3, 6, 6, 3, 5, 0, 3, 3] 
dagG31.txt 3_2x4.txt True 0.461864406779661 0.6 149.0 [0, 0, 3, 5, 5, 5, 7, 5, 5, 5, 5, 7, 5, 3, 0, 5, 3, 1, 5, 7, 5, 5, 3, 5, 1, 3, 3, 3, 5, 5, 5, 3, 3, 5, 3, 5, 5, 5, 3, 5, 3, 3, 3, 3, 5, 1, 3, 7, 6, 3, 3, 2, 7, 7, 7, 3, 7, 7, 7, 7, 3, 7, 7, 1, 3, 1, 2, 7, 4, 7, 2, 4, 7, 2, 1, 7, 2, 4, 7, 7] 
dagG31.txt 3_2x4.txt True 0.6059322033898306 0.7 136.75 [7, 1, 1, 2, 1, 1, 2, 5, 3, 1, 3, 3, 5, 4, 5, 1, 1, 3, 3, 1, 3, 1, 7, 0, 2, 7, 1, 6, 2, 3, 3, 4, 7, 1, 3, 5, 1, 3, 5, 7, 6, 7, 0, 5, 3, 1, 1, 5, 0, 7, 5, 3, 7, 5, 5, 5, 7, 5, 3, 6, 1, 5, 7, 3, 5, 7, 4, 7, 1, 5, 7, 1, 5, 3, 5, 1, 4, 3, 5, 7] 
dagG31.txt 3_2x4.txt True 0.7542372881355932 1 131.0 [3, 1, 1, 5, 5, 3, 1, 5, 4, 4, 1, 2, 3, 3, 1, 7, 1, 3, 3, 5, 5, 5, 7, 7, 5, 5, 3, 3, 1, 5, 5, 7, 5, 5, 1, 3, 3, 5, 2, 5, 7, 4, 3, 3, 1, 0, 3, 1, 6, 3, 1, 7, 5, 6, 1, 3, 1, 3, 4, 5, 7, 7, 2, 1, 3, 7, 6, 7, 0, 7, 0, 0, 7, 1, 6, 7, 7, 5, 7, 2] 
