dag28.txt 4_1x5.txt 0.4 1 638976.0 [7, 6, 7, 3, 5, 3, 3, 6, 9, 3, 2, 3, 3, 3, 6, 9, 3, 3, 5, 6, 0, 0, 3, 6, 3, 3, 2, 3, 0, 3, 5, 3, 2, 1, 1, 8, 1, 1, 8, 8, 5, 5, 3, 1, 2, 8, 7, 2, 1, 4, 4, 4, 6, 4, 6, 2, 4, 2] 
dag28.txt 5_4_3_2x3.txt 0.4235294117647059 1 262144.0 [7, 11, 5, 9, 11, 9, 9, 4, 6, 9, 2, 9, 9, 9, 11, 6, 9, 9, 11, 11, 10, 10, 9, 11, 9, 9, 2, 9, 8, 7, 11, 8, 0, 8, 7, 0, 7, 7, 5, 0, 1, 1, 9, 7, 0, 0, 7, 0, 3, 7, 1, 3, 11, 11, 4, 0, 4, 0] 
dag28.txt 3_2x5.txt 0.38823529411764707 1 311296.0 [7, 4, 8, 3, 1, 8, 2, 6, 9, 2, 8, 2, 8, 2, 4, 9, 2, 2, 1, 4, 1, 0, 2, 4, 8, 2, 2, 2, 0, 7, 1, 7, 4, 7, 5, 4, 5, 1, 3, 3, 0, 1, 2, 1, 4, 3, 6, 4, 5, 6, 1, 5, 4, 4, 6, 4, 6, 6] 
dag28.txt 3_2x4.txt 0.3411764705882353 1 393216.0 [4, 0, 3, 1, 0, 1, 1, 2, 4, 1, 3, 1, 1, 1, 2, 4, 1, 1, 0, 0, 5, 5, 1, 0, 1, 1, 1, 1, 5, 7, 0, 7, 0, 7, 7, 0, 7, 7, 3, 0, 7, 6, 1, 7, 0, 0, 4, 0, 6, 7, 6, 6, 0, 0, 2, 0, 2, 0] 
dag28.txt 4_1x4.txt 0.3411764705882353 1 786432.0 [6, 5, 3, 4, 5, 4, 4, 5, 0, 4, 3, 4, 4, 4, 5, 0, 4, 4, 5, 5, 1, 0, 4, 5, 4, 4, 4, 4, 1, 4, 5, 4, 7, 3, 0, 7, 6, 6, 7, 7, 1, 2, 6, 6, 7, 7, 6, 7, 2, 6, 2, 2, 5, 5, 5, 6, 6, 6] 
dag28.txt 5_4_3_2x1.txt 0.27058823529411763 1 794624.0 [2, 0, 2, 1, 1, 2, 2, 0, 3, 0, 2, 2, 2, 2, 0, 3, 2, 2, 1, 0, 1, 3, 0, 0, 2, 2, 2, 2, 3, 2, 1, 3, 0, 3, 1, 0, 1, 1, 1, 0, 3, 1, 2, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0] 
dag28.txt 3_2x3.txt 0.32941176470588235 1 532480.0 [2, 1, 3, 3, 1, 3, 3, 1, 2, 3, 5, 3, 3, 3, 1, 4, 3, 3, 1, 1, 4, 4, 3, 5, 3, 3, 3, 3, 4, 2, 4, 2, 5, 2, 2, 5, 2, 2, 5, 5, 0, 0, 3, 2, 5, 5, 2, 5, 0, 2, 0, 0, 5, 1, 1, 1, 1, 1] 
dag28.txt 5_4_3_2x4.txt 0.49411764705882355 1 163840.0 [8, 2, 4, 13, 2, 13, 5, 7, 15, 6, 4, 13, 13, 13, 7, 8, 13, 13, 2, 2, 2, 10, 13, 6, 13, 13, 5, 5, 12, 14, 9, 14, 6, 14, 10, 6, 10, 10, 11, 3, 12, 9, 13, 9, 6, 3, 9, 6, 1, 9, 9, 1, 6, 6, 0, 6, 0, 6] 
dag28.txt 4_1x2.txt 0.27058823529411763 1 1589248.0 [1, 0, 1, 2, 2, 1, 1, 0, 3, 0, 1, 1, 1, 1, 0, 3, 1, 1, 2, 0, 2, 3, 0, 0, 1, 1, 1, 1, 3, 1, 2, 3, 0, 3, 2, 0, 2, 2, 2, 0, 3, 2, 1, 2, 0, 0, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0] 
dag28.txt 5_4_3_2x2.txt 0.3411764705882353 1 393216.0 [4, 1, 7, 3, 1, 3, 3, 5, 4, 3, 7, 3, 3, 3, 5, 4, 3, 3, 1, 1, 6, 6, 3, 1, 3, 3, 3, 3, 6, 2, 1, 2, 1, 2, 2, 1, 2, 2, 7, 1, 0, 0, 3, 2, 1, 1, 4, 1, 2, 2, 0, 0, 1, 1, 5, 1, 5, 1] 
dag28.txt 4_1x3.txt 0.32941176470588235 1 1064960.0 [2, 1, 3, 3, 1, 3, 3, 1, 2, 3, 5, 3, 3, 3, 1, 4, 3, 3, 1, 1, 4, 4, 3, 5, 3, 3, 3, 3, 4, 2, 4, 2, 5, 2, 2, 5, 2, 2, 5, 5, 0, 0, 3, 2, 5, 5, 2, 5, 0, 2, 0, 0, 5, 1, 1, 1, 1, 1] 
dag28.txt 5_4_3_2x5.txt 0.5411764705882353 1 131072.0 [3, 8, 16, 14, 8, 16, 1, 18, 0, 6, 1, 1, 16, 4, 18, 0, 6, 6, 8, 8, 8, 7, 6, 12, 6, 6, 9, 6, 15, 17, 8, 2, 9, 2, 13, 12, 2, 2, 14, 5, 17, 10, 4, 10, 6, 5, 4, 6, 13, 4, 10, 11, 19, 19, 12, 19, 4, 19] 
