dagH45.txt 3_2x4.txt 0.53125 0.55 166.0 [1, 0, 0, 7, 7, 1, 1, 1, 0, 7, 7, 0, 1, 7, 1, 7, 3, 2, 0, 2, 0, 0, 0, 3, 7, 7, 7, 1, 2, 1, 3, 3, 0, 3, 2, 6, 1, 2, 3, 6, 3, 0, 6, 7, 2, 3, 0, 2, 4, 2, 4, 6, 4, 6, 5, 5, 4, 3, 5, 2, 2, 5, 4, 6, 5, 6, 4, 5, 6, 6, 4, 5, 6, 5, 6, 6, 4, 5, 4, 5, 3, 5, 2, 6, 4] 
dagH45.txt 3_2x4.txt 0.53125 0.6 166.0 [1, 0, 0, 7, 7, 1, 1, 1, 0, 7, 7, 0, 1, 7, 1, 7, 3, 2, 0, 2, 0, 0, 0, 3, 7, 7, 7, 1, 2, 1, 3, 3, 0, 3, 2, 6, 1, 2, 3, 6, 3, 0, 6, 7, 2, 3, 0, 2, 4, 2, 4, 6, 4, 6, 5, 5, 4, 3, 5, 2, 2, 5, 4, 6, 5, 6, 4, 5, 6, 6, 4, 5, 6, 5, 6, 6, 4, 5, 4, 5, 3, 5, 2, 6, 4] 
dagH45.txt 3_2x4.txt 0.53125 0.65 166.0 [1, 0, 0, 7, 7, 1, 1, 1, 0, 7, 7, 0, 1, 7, 1, 7, 3, 2, 0, 2, 0, 0, 0, 3, 7, 7, 7, 1, 2, 1, 3, 3, 0, 3, 2, 6, 1, 2, 3, 6, 3, 0, 6, 7, 2, 3, 0, 2, 4, 2, 4, 6, 4, 6, 5, 5, 4, 3, 5, 2, 2, 5, 4, 6, 5, 6, 4, 5, 6, 6, 4, 5, 6, 5, 6, 6, 4, 5, 4, 5, 3, 5, 2, 6, 4] 
dagH45.txt 3_2x4.txt 0.53125 0.7 166.0 [1, 0, 0, 7, 7, 1, 1, 1, 0, 7, 7, 0, 1, 7, 1, 7, 3, 2, 0, 2, 0, 0, 0, 3, 7, 7, 7, 1, 2, 1, 3, 3, 0, 3, 2, 6, 1, 2, 3, 6, 3, 0, 6, 7, 2, 3, 0, 2, 4, 2, 4, 6, 4, 6, 5, 5, 4, 3, 5, 2, 2, 5, 4, 6, 5, 6, 4, 5, 6, 6, 4, 5, 6, 5, 6, 6, 4, 5, 4, 5, 3, 5, 2, 6, 4] 
dagH45.txt 3_2x4.txt 0.53125 0.8 166.0 [1, 0, 0, 7, 7, 1, 1, 1, 0, 7, 7, 0, 1, 7, 1, 7, 3, 2, 0, 2, 0, 0, 0, 3, 7, 7, 7, 1, 2, 1, 3, 3, 0, 3, 2, 6, 1, 2, 3, 6, 3, 0, 6, 7, 2, 3, 0, 2, 4, 2, 4, 6, 4, 6, 5, 5, 4, 3, 5, 2, 2, 5, 4, 6, 5, 6, 4, 5, 6, 6, 4, 5, 6, 5, 6, 6, 4, 5, 4, 5, 3, 5, 2, 6, 4] 
dagH45.txt 3_2x4.txt 0.53125 0.9 166.0 [1, 0, 0, 7, 7, 1, 1, 1, 0, 7, 7, 0, 1, 7, 1, 7, 3, 2, 0, 2, 0, 0, 0, 3, 7, 7, 7, 1, 2, 1, 3, 3, 0, 3, 2, 6, 1, 2, 3, 6, 3, 0, 6, 7, 2, 3, 0, 2, 4, 2, 4, 6, 4, 6, 5, 5, 4, 3, 5, 2, 2, 5, 4, 6, 5, 6, 4, 5, 6, 6, 4, 5, 6, 5, 6, 6, 4, 5, 4, 5, 3, 5, 2, 6, 4] 
dagH45.txt 3_2x4.txt 0.53125 1 166.0 [1, 0, 0, 7, 7, 1, 1, 1, 0, 7, 7, 0, 1, 7, 1, 7, 3, 2, 0, 2, 0, 0, 0, 3, 7, 7, 7, 1, 2, 1, 3, 3, 0, 3, 2, 6, 1, 2, 3, 6, 3, 0, 6, 7, 2, 3, 0, 2, 4, 2, 4, 6, 4, 6, 5, 5, 4, 3, 5, 2, 2, 5, 4, 6, 5, 6, 4, 5, 6, 6, 4, 5, 6, 5, 6, 6, 4, 5, 4, 5, 3, 5, 2, 6, 4] 
dagH45.txt 3_2x4.txt 0.1796875 0.2 623.6666666666666 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 6, 2, 4, 0, 4, 2, 0, 0, 2, 0, 0, 0, 6, 4, 2, 6, 6, 4, 2, 6, 4, 6, 0, 0, 2, 0, 2, 4, 2, 0, 6, 4] 
dagH45.txt 3_2x4.txt 0.0703125 0.1 790.3333333333334 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 6, 4, 2, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 6] 
dagH45.txt 3_2x4.txt 0.41796875 0.45 253.0 [2, 2, 7, 2, 2, 2, 1, 1, 6, 2, 2, 6, 2, 2, 2, 7, 2, 2, 2, 2, 6, 1, 7, 2, 2, 7, 2, 1, 2, 2, 0, 6, 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0, 2, 2, 5, 6, 0, 0, 4, 3, 0, 0, 0, 4, 0, 0, 5, 4, 0, 0, 4, 0, 0, 0, 4, 3, 4, 0, 0, 5, 4, 4, 4, 0, 0, 3, 4, 0, 4, 5, 4, 0, 0, 3] 
