dagP43.txt 3_2x4.txt 0.3532710280373832 0.4 334.0 [5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 4, 4, 4, 4, 4, 5, 4, 5, 1, 3, 5, 1, 1, 4, 4, 4, 1, 1, 4, 4, 4, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 3, 4, 1, 3, 3, 1, 1, 1, 1, 3, 3, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 0, 1, 0, 0, 0, 6, 3, 3, 0, 3, 6, 6, 6, 3, 0, 0, 0, 0, 6, 0, 0, 6, 6, 6, 6, 0, 0, 0, 0, 6, 0, 6, 6, 0, 0, 6, 0, 0, 6, 0, 6, 0, 2, 0, 6, 6, 2, 6, 2, 6, 2, 2, 6, 6, 7, 2, 7, 0, 7, 2, 7, 2, 2, 2, 6, 7, 2, 2, 2, 7, 7, 2, 7, 7, 2, 7, 7, 2, 2, 2, 7, 2, 7, 2, 7, 2, 2, 7, 7, 2, 7, 7, 7, 2, 7, 7] 
dagP43.txt 3_2x4.txt 0.34579439252336447 0.45 333.5 [5, 5, 1, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 5, 1, 5, 1, 5, 1, 5, 5, 1, 1, 1, 1, 1, 1, 5, 1, 1, 4, 4, 5, 4, 4, 1, 1, 5, 4, 4, 1, 1, 1, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 4, 4, 5, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 6, 0, 3, 0, 6, 6, 0, 6, 3, 6, 3, 3, 6, 6, 3, 6, 6, 6, 6, 3, 3, 3, 3, 6, 3, 6, 6, 6, 3, 6, 3, 3, 6, 3, 6, 3, 2, 3, 6, 3, 2, 6, 2, 6, 2, 2, 6, 6, 2, 2, 2, 3, 7, 2, 2, 7, 2, 2, 6, 7, 2, 2, 2, 2, 7, 2, 7, 7, 2, 2, 7, 7, 7, 2, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7] 
dagP43.txt 3_2x4.txt 0.35700934579439253 0.5 334.0 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 3, 6, 3, 6, 3, 3, 6, 3, 3, 6, 6, 3, 6, 3, 6, 3, 3, 6, 3, 3, 2, 5, 6, 2, 2, 3, 3, 3, 2, 2, 3, 3, 6, 2, 2, 2, 2, 2, 5, 5, 2, 2, 2, 2, 2, 5, 3, 2, 5, 5, 5, 2, 2, 2, 5, 5, 2, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 5, 5, 5, 5, 4, 0, 4, 0, 4, 4, 5, 4, 0, 0, 0, 0, 0, 4, 0, 0, 4, 4, 0, 4, 0, 0, 0, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 4, 0, 4, 4, 1, 0, 4, 0, 1, 0, 7, 4, 7, 7, 4, 4, 7, 7, 7, 4, 7, 7, 7, 7, 1, 7, 4, 7, 7, 7, 1, 1, 7, 1, 1, 7, 1, 1, 7, 7, 1, 1, 7, 1, 7, 1, 7, 1, 1, 1, 7, 1, 1, 1, 7, 1, 1, 1] 
dagP43.txt 3_2x4.txt 0.36822429906542054 0.6 333.0 [6, 6, 6, 6, 3, 6, 6, 6, 3, 6, 3, 6, 3, 6, 6, 6, 3, 6, 6, 3, 6, 6, 6, 3, 3, 3, 3, 3, 3, 6, 3, 6, 4, 4, 6, 2, 4, 3, 3, 3, 2, 2, 3, 3, 3, 4, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 2, 4, 6, 2, 4, 4, 4, 2, 2, 4, 4, 2, 4, 4, 4, 4, 2, 4, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 2, 4, 1, 2, 1, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 5, 5, 0, 1, 0, 1, 0, 0, 0, 1, 0, 5, 1, 5, 5, 0, 5, 5, 5, 7, 0, 7, 5, 7, 7, 5, 5, 1, 7, 5, 5, 5, 1, 7, 5, 7, 7, 5, 5, 7, 5, 7, 5, 7, 5, 7, 5, 7, 5, 7, 7, 7, 5, 7, 7, 7, 5, 7, 7] 
dagP43.txt 3_2x4.txt 0.35700934579439253 0.7 333.5 [5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 3, 3, 5, 3, 5, 5, 5, 3, 5, 3, 5, 3, 3, 3, 3, 5, 4, 1, 3, 4, 4, 3, 3, 3, 1, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 3, 1, 1, 1, 1, 4, 4, 1, 1, 4, 1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 0, 0, 2, 2, 2, 2, 0, 2, 0, 0, 2, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 2, 0, 0, 2, 0, 2, 0, 6, 0, 2, 0, 6, 2, 7, 2, 7, 7, 2, 2, 7, 7, 7, 0, 7, 7, 7, 7, 6, 7, 2, 7, 7, 7, 6, 6, 7, 6, 6, 7, 6, 6, 7, 7, 6, 6, 7, 6, 7, 6, 7, 6, 6, 6, 7, 6, 6, 6, 7, 6, 6, 6] 
dagP43.txt 3_2x4.txt 0.35700934579439253 0.55 333.5 [5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 3, 3, 5, 3, 5, 5, 5, 3, 5, 3, 5, 3, 3, 3, 3, 5, 4, 1, 3, 4, 4, 3, 3, 3, 1, 4, 3, 3, 3, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 3, 1, 1, 1, 1, 4, 4, 1, 1, 4, 1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 2, 0, 0, 2, 2, 2, 2, 0, 2, 0, 0, 2, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 2, 0, 0, 2, 0, 2, 0, 6, 0, 2, 0, 6, 2, 7, 2, 7, 7, 2, 2, 7, 7, 7, 0, 7, 7, 7, 7, 6, 7, 2, 7, 7, 7, 6, 6, 7, 6, 6, 7, 6, 6, 7, 7, 6, 6, 7, 6, 7, 6, 7, 6, 6, 6, 7, 6, 6, 6, 7, 6, 6, 6] 
dagP43.txt 3_2x4.txt 0.3514018691588785 0.8 334.0 [7, 7, 7, 7, 2, 7, 7, 7, 2, 7, 7, 7, 2, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 2, 2, 2, 2, 2, 2, 7, 2, 7, 0, 0, 7, 3, 0, 2, 2, 2, 0, 0, 2, 2, 2, 0, 3, 0, 3, 3, 0, 0, 3, 3, 3, 3, 0, 0, 2, 3, 0, 0, 3, 3, 3, 0, 0, 3, 3, 3, 0, 0, 0, 0, 4, 3, 3, 0, 0, 0, 0, 0, 3, 0, 3, 4, 0, 3, 0, 6, 4, 3, 4, 4, 6, 6, 6, 4, 4, 4, 4, 4, 6, 4, 4, 6, 6, 4, 6, 4, 4, 4, 4, 6, 4, 6, 6, 4, 4, 4, 4, 4, 6, 4, 6, 6, 5, 4, 6, 6, 5, 6, 1, 6, 1, 1, 6, 6, 1, 1, 1, 6, 5, 1, 1, 5, 1, 1, 6, 5, 1, 1, 1, 5, 1, 1, 5, 5, 1, 1, 5, 5, 5, 1, 5, 1, 5, 1, 5, 1, 5, 5, 5, 1, 5, 5, 5, 1, 5, 5] 
dagP43.txt 3_2x4.txt 0.3644859813084112 0.65 333.5 [3, 3, 7, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 7, 3, 3, 7, 3, 3, 7, 3, 3, 7, 3, 7, 7, 7, 7, 7, 7, 3, 4, 0, 7, 7, 4, 3, 7, 4, 0, 4, 7, 7, 7, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 7, 4, 4, 7, 0, 0, 0, 0, 4, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 6, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 2, 0, 6, 6, 2, 2, 2, 6, 2, 6, 6, 6, 2, 2, 6, 2, 2, 2, 2, 6, 6, 6, 6, 2, 6, 2, 2, 6, 6, 6, 6, 6, 2, 6, 2, 6, 1, 6, 2, 6, 1, 6, 1, 2, 1, 1, 2, 2, 5, 1, 1, 6, 5, 1, 5, 5, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 5, 5, 1, 5, 5, 5, 5, 1, 5, 1, 5, 1, 1, 1, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5] 
dagP43.txt 3_2x4.txt 0.34766355140186916 0.9 333.5 [2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 4, 2, 4, 2, 2, 4, 4, 4, 4, 4, 2, 2, 4, 4, 1, 4, 2, 1, 1, 4, 4, 4, 1, 1, 4, 4, 4, 1, 1, 1, 7, 7, 1, 1, 7, 7, 7, 1, 1, 1, 4, 1, 7, 1, 1, 7, 7, 1, 1, 7, 1, 1, 1, 7, 1, 1, 7, 7, 7, 7, 0, 7, 7, 7, 1, 1, 7, 1, 7, 7, 0, 3, 0, 7, 0, 7, 3, 3, 3, 0, 0, 0, 0, 0, 3, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 3, 0, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 3, 5, 0, 3, 0, 5, 0, 6, 3, 6, 6, 3, 3, 6, 6, 6, 3, 5, 6, 6, 5, 6, 6, 3, 5, 6, 6, 6, 5, 6, 6, 5, 5, 6, 6, 5, 5, 5, 6, 5, 6, 5, 6, 5, 6, 5, 5, 5, 6, 5, 5, 5, 6, 5, 5] 
dagP43.txt 3_2x4.txt 0.34953271028037386 1 333.0 [4, 4, 4, 4, 7, 4, 4, 4, 7, 4, 7, 4, 7, 4, 4, 4, 7, 4, 4, 7, 4, 4, 4, 7, 7, 7, 7, 7, 7, 4, 7, 4, 6, 3, 4, 6, 6, 7, 7, 7, 3, 6, 7, 7, 7, 6, 6, 6, 6, 6, 6, 3, 6, 6, 6, 6, 6, 6, 4, 3, 3, 3, 3, 6, 6, 3, 3, 6, 3, 6, 3, 3, 6, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 2, 2, 0, 0, 3, 3, 0, 3, 2, 2, 2, 3, 0, 2, 0, 0, 2, 2, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 2, 2, 2, 0, 2, 0, 0, 2, 0, 2, 0, 1, 0, 2, 0, 1, 0, 1, 2, 1, 1, 2, 2, 5, 5, 5, 0, 5, 1, 5, 1, 1, 1, 2, 5, 1, 1, 1, 5, 5, 1, 5, 5, 1, 5, 5, 5, 1, 1, 5, 1, 5, 1, 5, 1, 1, 5, 5, 1, 5, 1, 5, 1, 5, 5] 
