dagQ23.txt 5_4_3_2x2.txt 0.3996478873239437 0.4 255.0 [5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 4, 7, 5, 5, 7, 7, 0, 5, 7, 5, 5, 5, 7, 5, 7, 7, 2, 7, 4, 7, 5, 7, 5, 7, 0, 7, 2, 7, 4, 4, 2, 7, 2, 4, 2, 4, 7, 7, 4, 2, 7, 4, 7, 2, 4, 4, 4, 4, 4, 4, 4, 7, 2, 4, 4, 4, 4, 2, 4, 2, 2, 3, 4, 2, 4, 4, 2, 2, 4, 3, 6, 2, 4, 3, 2, 4, 2, 2, 6, 6, 4, 4, 4, 2, 0, 3, 3, 2, 2, 6, 3, 6, 3, 6, 3, 2, 3, 3, 6, 6, 6, 6, 2, 0, 0, 6, 0, 6, 3, 3, 6, 6, 6, 3, 3, 3, 6, 6, 3, 3, 1, 0, 1, 0, 6, 6, 6, 1, 6, 0, 3, 1, 1, 6, 6, 1, 6, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 6, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0] 
dagQ23.txt 5_4_3_2x2.txt 0.4454225352112676 0.45 219.4 [2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 3, 4, 2, 2, 4, 4, 4, 2, 4, 4, 2, 4, 4, 2, 4, 5, 5, 4, 3, 4, 2, 4, 2, 4, 4, 4, 0, 4, 3, 0, 5, 4, 5, 3, 5, 4, 4, 4, 0, 5, 4, 3, 4, 5, 3, 3, 0, 3, 0, 3, 3, 4, 5, 3, 3, 3, 3, 5, 3, 5, 5, 7, 7, 5, 5, 3, 5, 7, 3, 7, 3, 5, 3, 7, 5, 0, 5, 5, 3, 0, 3, 5, 3, 5, 4, 7, 7, 6, 5, 7, 6, 0, 7, 6, 7, 5, 7, 7, 6, 6, 6, 6, 5, 0, 4, 6, 0, 6, 7, 6, 6, 6, 6, 7, 4, 0, 6, 6, 7, 6, 1, 1, 0, 6, 6, 6, 6, 0, 0, 6, 7, 1, 1, 6, 6, 1, 0, 1, 4, 1, 0, 0, 1, 1, 0, 0, 1, 7, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1] 
dagQ23.txt 5_4_3_2x2.txt 0.45774647887323944 0.5 203.8 [5, 6, 6, 5, 6, 6, 6, 6, 6, 1, 6, 5, 6, 6, 6, 6, 5, 6, 6, 5, 5, 5, 6, 5, 6, 6, 5, 5, 5, 5, 5, 7, 5, 1, 5, 6, 5, 1, 5, 5, 5, 5, 5, 1, 1, 7, 5, 5, 1, 0, 1, 5, 6, 1, 7, 6, 1, 5, 7, 1, 1, 1, 1, 1, 1, 7, 5, 7, 1, 1, 1, 1, 7, 1, 7, 0, 2, 1, 7, 1, 1, 4, 0, 7, 2, 2, 7, 1, 2, 0, 1, 7, 1, 2, 2, 1, 1, 7, 0, 4, 2, 2, 7, 0, 2, 2, 4, 2, 2, 2, 7, 3, 3, 3, 3, 2, 2, 7, 2, 4, 3, 0, 3, 2, 2, 2, 2, 4, 3, 0, 0, 3, 2, 2, 2, 4, 0, 4, 0, 0, 3, 4, 4, 3, 0, 3, 4, 4, 3, 3, 4, 3, 0, 4, 4, 4, 1, 0, 4, 0, 0, 0, 3, 4, 4, 0, 0, 4, 0, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 4, 0, 4, 0] 
dagQ23.txt 5_4_3_2x2.txt 0.5052816901408451 0.55 203.4 [7, 5, 5, 4, 5, 5, 5, 5, 5, 5, 7, 7, 5, 5, 5, 6, 7, 5, 0, 7, 7, 4, 5, 5, 0, 5, 5, 7, 1, 7, 5, 2, 7, 6, 7, 5, 5, 5, 7, 0, 7, 2, 0, 6, 4, 2, 7, 2, 6, 2, 2, 7, 5, 2, 2, 5, 6, 7, 2, 6, 2, 6, 6, 6, 6, 6, 7, 2, 6, 2, 6, 6, 2, 6, 2, 4, 3, 1, 2, 2, 6, 4, 6, 6, 1, 6, 6, 6, 0, 6, 1, 2, 6, 3, 0, 2, 2, 6, 2, 5, 1, 3, 6, 0, 3, 3, 0, 1, 3, 3, 2, 1, 1, 3, 3, 3, 3, 6, 1, 1, 1, 1, 4, 0, 1, 3, 3, 1, 3, 1, 1, 1, 3, 3, 1, 4, 0, 3, 1, 0, 0, 0, 0, 0, 1, 1, 4, 4, 0, 1, 4, 0, 4, 4, 4, 0, 1, 4, 4, 0, 0, 4, 0, 4, 5, 4, 0, 0, 0, 4, 4, 1, 4, 4, 0, 0, 4, 4, 4, 4, 4, 0, 0, 4, 0, 4, 4, 0, 4, 4] 
dagQ23.txt 5_4_3_2x2.txt 0.47007042253521125 0.6 202.33333333333334 [7, 2, 2, 4, 2, 2, 2, 2, 2, 2, 7, 7, 2, 2, 2, 5, 7, 2, 0, 7, 7, 1, 2, 2, 0, 2, 5, 7, 4, 7, 2, 5, 7, 6, 7, 2, 2, 1, 7, 0, 7, 5, 4, 5, 6, 5, 7, 5, 6, 5, 5, 7, 2, 5, 5, 2, 6, 7, 5, 6, 5, 6, 6, 6, 6, 5, 7, 5, 5, 5, 6, 6, 5, 6, 5, 5, 1, 3, 5, 4, 5, 5, 6, 5, 3, 5, 6, 6, 1, 6, 6, 5, 6, 1, 1, 6, 6, 6, 5, 4, 3, 3, 6, 4, 1, 1, 1, 3, 1, 3, 5, 3, 3, 1, 1, 1, 1, 6, 0, 5, 1, 0, 1, 3, 3, 1, 1, 0, 3, 4, 0, 1, 1, 3, 3, 4, 4, 0, 1, 1, 1, 1, 0, 0, 3, 3, 4, 4, 1, 1, 4, 0, 4, 0, 4, 0, 0, 4, 4, 0, 0, 4, 1, 4, 4, 4, 0, 0, 0, 0, 4, 0, 4, 4, 0, 0, 0, 4, 4, 0, 0, 0, 4, 4, 0, 4, 4, 4, 4, 0] 
dagQ23.txt 5_4_3_2x2.txt 0.5052816901408451 0.7 203.4 [7, 5, 5, 4, 5, 5, 5, 5, 5, 5, 7, 7, 5, 5, 5, 6, 7, 5, 0, 7, 7, 4, 5, 5, 0, 5, 5, 7, 1, 7, 5, 2, 7, 6, 7, 5, 5, 5, 7, 0, 7, 2, 0, 6, 4, 2, 7, 2, 6, 2, 2, 7, 5, 2, 2, 5, 6, 7, 2, 6, 2, 6, 6, 6, 6, 6, 7, 2, 6, 2, 6, 6, 2, 6, 2, 4, 3, 1, 2, 2, 6, 4, 6, 6, 1, 6, 6, 6, 0, 6, 1, 2, 6, 3, 0, 2, 2, 6, 2, 5, 1, 3, 6, 0, 3, 3, 0, 1, 3, 3, 2, 1, 1, 3, 3, 3, 3, 6, 1, 1, 1, 1, 4, 0, 1, 3, 3, 1, 3, 1, 1, 1, 3, 3, 1, 4, 0, 3, 1, 0, 0, 0, 0, 0, 1, 1, 4, 4, 0, 1, 4, 0, 4, 4, 4, 0, 1, 4, 4, 0, 0, 4, 0, 4, 5, 4, 0, 0, 0, 4, 4, 1, 4, 4, 0, 0, 4, 4, 4, 4, 4, 0, 0, 4, 0, 4, 4, 0, 4, 4] 
dagQ23.txt 5_4_3_2x2.txt 0.49471830985915494 0.9 204.8 [1, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 0, 1, 4, 4, 1, 1, 1, 4, 1, 4, 4, 5, 1, 1, 1, 0, 0, 1, 2, 2, 4, 1, 4, 1, 1, 1, 0, 1, 0, 2, 0, 1, 1, 2, 1, 0, 1, 4, 0, 0, 0, 2, 1, 0, 2, 0, 2, 2, 2, 2, 2, 1, 0, 0, 0, 0, 2, 0, 2, 0, 0, 7, 3, 0, 4, 0, 4, 2, 2, 7, 2, 0, 2, 0, 2, 2, 0, 2, 2, 2, 2, 2, 0, 0, 4, 3, 3, 0, 0, 7, 7, 4, 3, 7, 3, 3, 7, 3, 7, 7, 7, 7, 3, 0, 5, 3, 0, 0, 1, 3, 7, 7, 0, 7, 0, 4, 7, 7, 3, 3, 6, 5, 6, 5, 0, 4, 6, 1, 7, 6, 3, 6, 6, 7, 3, 6, 0, 5, 5, 6, 6, 5, 5, 6, 6, 5, 5, 3, 6, 4, 5, 5, 6, 5, 5, 6, 5, 6, 6, 5, 6, 5, 6, 5, 5, 5, 6, 5, 5, 5, 4, 6, 5, 6, 5] 
dagQ23.txt 5_4_3_2x2.txt 0.5052816901408451 0.65 203.4 [7, 5, 5, 4, 5, 5, 5, 5, 5, 5, 7, 7, 5, 5, 5, 6, 7, 5, 0, 7, 7, 4, 5, 5, 0, 5, 5, 7, 1, 7, 5, 2, 7, 6, 7, 5, 5, 5, 7, 0, 7, 2, 0, 6, 4, 2, 7, 2, 6, 2, 2, 7, 5, 2, 2, 5, 6, 7, 2, 6, 2, 6, 6, 6, 6, 6, 7, 2, 6, 2, 6, 6, 2, 6, 2, 4, 3, 1, 2, 2, 6, 4, 6, 6, 1, 6, 6, 6, 0, 6, 1, 2, 6, 3, 0, 2, 2, 6, 2, 5, 1, 3, 6, 0, 3, 3, 0, 1, 3, 3, 2, 1, 1, 3, 3, 3, 3, 6, 1, 1, 1, 1, 4, 0, 1, 3, 3, 1, 3, 1, 1, 1, 3, 3, 1, 4, 0, 3, 1, 0, 0, 0, 0, 0, 1, 1, 4, 4, 0, 1, 4, 0, 4, 4, 4, 0, 1, 4, 4, 0, 0, 4, 0, 4, 5, 4, 0, 0, 0, 4, 4, 1, 4, 4, 0, 0, 4, 4, 4, 4, 4, 0, 0, 4, 0, 4, 4, 0, 4, 4] 
dagQ23.txt 5_4_3_2x2.txt 0.4859154929577465 0.8 203.0 [7, 7, 0, 4, 7, 7, 4, 7, 7, 0, 7, 2, 7, 7, 7, 5, 2, 7, 0, 2, 2, 2, 7, 2, 4, 7, 5, 2, 7, 2, 2, 1, 2, 5, 2, 0, 2, 1, 2, 2, 2, 1, 2, 5, 5, 1, 2, 1, 5, 1, 5, 2, 2, 5, 1, 2, 5, 2, 1, 5, 5, 5, 5, 5, 5, 1, 2, 1, 5, 5, 5, 5, 5, 5, 1, 1, 3, 5, 1, 5, 5, 1, 1, 1, 3, 3, 1, 5, 0, 1, 5, 1, 5, 3, 0, 5, 5, 1, 1, 4, 3, 3, 1, 1, 3, 3, 0, 3, 3, 3, 1, 6, 6, 6, 3, 6, 6, 1, 0, 4, 6, 1, 6, 4, 3, 6, 6, 6, 3, 6, 6, 0, 6, 3, 3, 4, 0, 4, 0, 6, 6, 6, 4, 6, 0, 6, 4, 4, 6, 6, 4, 6, 0, 4, 4, 4, 5, 0, 4, 0, 0, 0, 6, 4, 4, 0, 0, 4, 0, 0, 4, 4, 4, 4, 0, 4, 0, 4, 4, 0, 0, 0, 0, 0, 0, 4, 4, 0, 4, 0] 
dagQ23.txt 5_4_3_2x2.txt 0.4982394366197183 1 204.33333333333334 [0, 3, 0, 4, 3, 3, 4, 3, 3, 1, 0, 0, 3, 0, 3, 3, 0, 3, 0, 6, 0, 1, 3, 3, 0, 3, 5, 0, 0, 0, 6, 6, 0, 2, 6, 0, 3, 4, 0, 0, 0, 2, 0, 2, 4, 2, 0, 0, 2, 6, 0, 0, 3, 2, 6, 3, 2, 6, 6, 2, 2, 2, 2, 2, 2, 2, 0, 6, 2, 2, 2, 7, 6, 2, 6, 4, 7, 2, 6, 4, 2, 4, 6, 2, 7, 2, 6, 2, 0, 6, 2, 6, 6, 7, 0, 2, 2, 2, 6, 1, 1, 1, 6, 6, 7, 7, 0, 1, 7, 1, 6, 7, 1, 7, 7, 7, 7, 6, 1, 1, 1, 1, 0, 1, 1, 7, 7, 0, 1, 1, 1, 5, 7, 1, 1, 4, 5, 7, 1, 0, 0, 4, 4, 4, 4, 1, 4, 4, 7, 1, 4, 4, 5, 5, 4, 4, 5, 5, 4, 4, 5, 5, 7, 4, 5, 5, 5, 4, 5, 4, 4, 5, 4, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 1, 4, 5, 4, 5] 
dagQ23.txt 4_1x5.txt 0.4964788732394366 0.5 342.0 [6, 6, 2, 6, 6, 2, 2, 6, 6, 2, 2, 6, 6, 2, 2, 4, 6, 2, 2, 6, 6, 6, 2, 2, 2, 2, 2, 6, 2, 6, 7, 7, 6, 4, 7, 6, 6, 6, 4, 0, 2, 7, 0, 4, 4, 7, 2, 2, 4, 7, 2, 7, 2, 7, 5, 6, 4, 7, 7, 4, 7, 4, 4, 4, 4, 4, 7, 5, 4, 5, 4, 9, 4, 4, 5, 0, 9, 7, 4, 0, 4, 0, 4, 4, 9, 4, 5, 4, 9, 0, 4, 5, 5, 9, 0, 5, 5, 5, 0, 2, 0, 0, 5, 0, 9, 9, 0, 0, 9, 0, 5, 9, 0, 0, 9, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 0, 0, 9, 0, 0, 0, 3, 1, 9, 1, 0, 8, 1, 8, 8, 1, 1, 8, 0, 1, 1, 8, 1, 3, 0, 3, 8, 8, 8, 3, 8, 1, 3, 1, 1, 2, 3, 0, 8, 1, 8, 8, 2, 8, 8, 8, 1, 3, 8, 2, 3, 3, 8, 3, 3, 0, 2, 3, 3, 8, 3] 
dagQ23.txt 4_1x5.txt 0.545774647887324 0.55 230.5 [5, 8, 8, 4, 8, 8, 8, 8, 8, 8, 5, 0, 8, 8, 8, 0, 0, 8, 6, 5, 5, 4, 8, 5, 8, 8, 8, 5, 2, 3, 0, 3, 5, 0, 5, 8, 8, 8, 5, 8, 3, 3, 2, 0, 0, 3, 0, 4, 0, 6, 0, 2, 5, 0, 0, 8, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 3, 9, 0, 0, 9, 0, 0, 0, 9, 8, 7, 3, 9, 4, 0, 4, 0, 0, 7, 7, 9, 0, 0, 2, 0, 9, 9, 7, 4, 0, 0, 9, 2, 8, 4, 4, 9, 4, 4, 0, 4, 4, 7, 4, 0, 7, 7, 4, 4, 4, 7, 6, 4, 6, 4, 2, 4, 4, 4, 4, 7, 2, 7, 6, 6, 2, 4, 4, 4, 2, 6, 2, 1, 4, 6, 2, 6, 6, 1, 1, 2, 2, 6, 4, 2, 6, 1, 6, 2, 6, 6, 6, 2, 6, 6, 1, 6, 2, 8, 1, 4, 6, 6, 6, 2, 2, 2, 2, 6, 6, 1, 2, 8, 2, 2, 6, 1, 2, 2, 6, 2, 6, 2, 2] 
dagQ23.txt 4_1x5.txt None 0.1 20000000000.0 None 
