dagI36.txt 3_2x4.txt 0.49242424242424243 0.5 165.5 [6, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 6, 4, 4, 6, 1, 4, 6, 6, 4, 4, 1, 4, 6, 6, 6, 4, 6, 6, 6, 4, 7, 6, 6, 6, 7, 6, 4, 0, 7, 0, 3, 7, 3, 7, 7, 5, 7, 6, 7, 0, 3, 0, 7, 0, 3, 0, 3, 0, 7, 2, 2, 0, 6, 7, 5, 0, 5, 5, 0, 3, 4, 2, 2, 0, 3, 2, 2, 2, 2, 5, 2, 5, 2, 5, 0, 5, 3, 2, 5, 5, 5, 2, 2, 2] 
dagI36.txt 3_2x4.txt 0.49242424242424243 0.55 165.5 [6, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 6, 4, 4, 6, 1, 4, 6, 6, 4, 4, 1, 4, 6, 6, 6, 4, 6, 6, 6, 4, 7, 6, 6, 6, 7, 6, 4, 0, 7, 0, 3, 7, 3, 7, 7, 5, 7, 6, 7, 0, 3, 0, 7, 0, 3, 0, 3, 0, 7, 2, 2, 0, 6, 7, 5, 0, 5, 5, 0, 3, 4, 2, 2, 0, 3, 2, 2, 2, 2, 5, 2, 5, 2, 5, 0, 5, 3, 2, 5, 5, 5, 2, 2, 2] 
dagI36.txt 3_2x4.txt 0.49242424242424243 0.6 165.5 [6, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 6, 4, 4, 6, 1, 4, 6, 6, 4, 4, 1, 4, 6, 6, 6, 4, 6, 6, 6, 4, 7, 6, 6, 6, 7, 6, 4, 0, 7, 0, 3, 7, 3, 7, 7, 5, 7, 6, 7, 0, 3, 0, 7, 0, 3, 0, 3, 0, 7, 2, 2, 0, 6, 7, 5, 0, 5, 5, 0, 3, 4, 2, 2, 0, 3, 2, 2, 2, 2, 5, 2, 5, 2, 5, 0, 5, 3, 2, 5, 5, 5, 2, 2, 2] 
dagI36.txt 3_2x4.txt 0.49242424242424243 0.65 165.5 [6, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 6, 4, 4, 6, 1, 4, 6, 6, 4, 4, 1, 4, 6, 6, 6, 4, 6, 6, 6, 4, 7, 6, 6, 6, 7, 6, 4, 0, 7, 0, 3, 7, 3, 7, 7, 5, 7, 6, 7, 0, 3, 0, 7, 0, 3, 0, 3, 0, 7, 2, 2, 0, 6, 7, 5, 0, 5, 5, 0, 3, 4, 2, 2, 0, 3, 2, 2, 2, 2, 5, 2, 5, 2, 5, 0, 5, 3, 2, 5, 5, 5, 2, 2, 2] 
dagI36.txt 3_2x4.txt 0.49242424242424243 0.7 165.5 [6, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 6, 4, 4, 6, 1, 4, 6, 6, 4, 4, 1, 4, 6, 6, 6, 4, 6, 6, 6, 4, 7, 6, 6, 6, 7, 6, 4, 0, 7, 0, 3, 7, 3, 7, 7, 5, 7, 6, 7, 0, 3, 0, 7, 0, 3, 0, 3, 0, 7, 2, 2, 0, 6, 7, 5, 0, 5, 5, 0, 3, 4, 2, 2, 0, 3, 2, 2, 2, 2, 5, 2, 5, 2, 5, 0, 5, 3, 2, 5, 5, 5, 2, 2, 2] 
dagI36.txt 3_2x4.txt 0.49242424242424243 0.8 165.5 [6, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 6, 4, 4, 6, 1, 4, 6, 6, 4, 4, 1, 4, 6, 6, 6, 4, 6, 6, 6, 4, 7, 6, 6, 6, 7, 6, 4, 0, 7, 0, 3, 7, 3, 7, 7, 5, 7, 6, 7, 0, 3, 0, 7, 0, 3, 0, 3, 0, 7, 2, 2, 0, 6, 7, 5, 0, 5, 5, 0, 3, 4, 2, 2, 0, 3, 2, 2, 2, 2, 5, 2, 5, 2, 5, 0, 5, 3, 2, 5, 5, 5, 2, 2, 2] 
dagI36.txt 3_2x4.txt 0.49242424242424243 0.9 165.5 [6, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 6, 4, 4, 6, 1, 4, 6, 6, 4, 4, 1, 4, 6, 6, 6, 4, 6, 6, 6, 4, 7, 6, 6, 6, 7, 6, 4, 0, 7, 0, 3, 7, 3, 7, 7, 5, 7, 6, 7, 0, 3, 0, 7, 0, 3, 0, 3, 0, 7, 2, 2, 0, 6, 7, 5, 0, 5, 5, 0, 3, 4, 2, 2, 0, 3, 2, 2, 2, 2, 5, 2, 5, 2, 5, 0, 5, 3, 2, 5, 5, 5, 2, 2, 2] 
dagI36.txt 3_2x4.txt 0.49242424242424243 1 165.5 [6, 4, 1, 1, 4, 1, 4, 4, 1, 1, 4, 4, 1, 1, 4, 1, 6, 4, 4, 6, 1, 4, 6, 6, 4, 4, 1, 4, 6, 6, 6, 4, 6, 6, 6, 4, 7, 6, 6, 6, 7, 6, 4, 0, 7, 0, 3, 7, 3, 7, 7, 5, 7, 6, 7, 0, 3, 0, 7, 0, 3, 0, 3, 0, 7, 2, 2, 0, 6, 7, 5, 0, 5, 5, 0, 3, 4, 2, 2, 0, 3, 2, 2, 2, 2, 5, 2, 5, 2, 5, 0, 5, 3, 2, 5, 5, 5, 2, 2, 2] 
dagI36.txt 5_4_3_2x2.txt 0.5 0.5 122.5 [4, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 5, 2, 1, 5, 2, 1, 5, 5, 1, 1, 2, 1, 5, 5, 5, 1, 5, 5, 5, 1, 7, 5, 5, 5, 7, 5, 1, 0, 0, 0, 6, 7, 6, 0, 7, 3, 7, 5, 7, 0, 6, 0, 7, 0, 6, 0, 6, 0, 7, 4, 4, 4, 4, 7, 3, 0, 3, 3, 0, 6, 6, 4, 4, 0, 6, 4, 4, 4, 4, 3, 4, 0, 4, 3, 0, 0, 6, 4, 3, 3, 3, 4, 4, 4] 
dagI36.txt 5_4_3_2x2.txt 0.5151515151515151 0.55 117.0 [4, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 5, 2, 1, 5, 2, 1, 5, 5, 1, 1, 2, 1, 5, 5, 5, 1, 5, 5, 5, 1, 7, 5, 5, 5, 7, 5, 1, 0, 0, 0, 6, 7, 6, 0, 1, 3, 7, 5, 7, 0, 6, 0, 7, 0, 6, 0, 6, 0, 7, 4, 4, 4, 5, 7, 3, 0, 3, 3, 0, 6, 6, 4, 4, 0, 6, 4, 4, 4, 4, 3, 4, 0, 4, 3, 0, 0, 6, 4, 3, 3, 3, 4, 4, 4] 
