dagH16.txt 3_2x4.txt 0.5450980392156862 0.6 128.5 [5, 5, 0, 5, 5, 3, 3, 5, 5, 5, 0, 2, 1, 3, 5, 1, 3, 0, 0, 2, 0, 3, 5, 5, 0, 0, 5, 2, 1, 1, 0, 3, 7, 3, 3, 4, 0, 4, 1, 4, 4, 7, 2, 3, 2, 1, 1, 5, 4, 4, 6, 7, 2, 2, 6, 7, 6, 2, 0, 4, 4, 7, 4, 2, 6, 4, 6, 6, 4, 6, 1, 7, 6, 6, 7, 4, 2, 6, 6, 7, 1, 6, 2, 6, 6] 
dagH16.txt 3_2x4.txt 0.5450980392156862 0.7 128.5 [5, 5, 0, 5, 5, 3, 3, 5, 5, 5, 0, 2, 1, 3, 5, 1, 3, 0, 0, 2, 0, 3, 5, 5, 0, 0, 5, 2, 1, 1, 0, 3, 7, 3, 3, 4, 0, 4, 1, 4, 4, 7, 2, 3, 2, 1, 1, 5, 4, 4, 6, 7, 2, 2, 6, 7, 6, 2, 0, 4, 4, 7, 4, 2, 6, 4, 6, 6, 4, 6, 1, 7, 6, 6, 7, 4, 2, 6, 6, 7, 1, 6, 2, 6, 6] 
dagH16.txt 3_2x4.txt 0.5450980392156862 0.65 128.5 [5, 5, 0, 5, 5, 3, 3, 5, 5, 5, 0, 2, 1, 3, 5, 1, 3, 0, 0, 2, 0, 3, 5, 5, 0, 0, 5, 2, 1, 1, 0, 3, 7, 3, 3, 4, 0, 4, 1, 4, 4, 7, 2, 3, 2, 1, 1, 5, 4, 4, 6, 7, 2, 2, 6, 7, 6, 2, 0, 4, 4, 7, 4, 2, 6, 4, 6, 6, 4, 6, 1, 7, 6, 6, 7, 4, 2, 6, 6, 7, 1, 6, 2, 6, 6] 
dagH16.txt 3_2x4.txt 0.5450980392156862 0.9 128.5 [5, 5, 0, 5, 5, 3, 3, 5, 5, 5, 0, 2, 1, 3, 5, 1, 3, 0, 0, 2, 0, 3, 5, 5, 0, 0, 5, 2, 1, 1, 0, 3, 7, 3, 3, 4, 0, 4, 1, 4, 4, 7, 2, 3, 2, 1, 1, 5, 4, 4, 6, 7, 2, 2, 6, 7, 6, 2, 0, 4, 4, 7, 4, 2, 6, 4, 6, 6, 4, 6, 1, 7, 6, 6, 7, 4, 2, 6, 6, 7, 1, 6, 2, 6, 6] 
dagH16.txt 3_2x4.txt 0.5450980392156862 0.8 128.5 [5, 5, 0, 5, 5, 3, 3, 5, 5, 5, 0, 2, 1, 3, 5, 1, 3, 0, 0, 2, 0, 3, 5, 5, 0, 0, 5, 2, 1, 1, 0, 3, 7, 3, 3, 4, 0, 4, 1, 4, 4, 7, 2, 3, 2, 1, 1, 5, 4, 4, 6, 7, 2, 2, 6, 7, 6, 2, 0, 4, 4, 7, 4, 2, 6, 4, 6, 6, 4, 6, 1, 7, 6, 6, 7, 4, 2, 6, 6, 7, 1, 6, 2, 6, 6] 
dagH16.txt 3_2x4.txt 0.5450980392156862 1 128.5 [5, 5, 0, 5, 5, 3, 3, 5, 5, 5, 0, 2, 1, 3, 5, 1, 3, 0, 0, 2, 0, 3, 5, 5, 0, 0, 5, 2, 1, 1, 0, 3, 7, 3, 3, 4, 0, 4, 1, 4, 4, 7, 2, 3, 2, 1, 1, 5, 4, 4, 6, 7, 2, 2, 6, 7, 6, 2, 0, 4, 4, 7, 4, 2, 6, 4, 6, 6, 4, 6, 1, 7, 6, 6, 7, 4, 2, 6, 6, 7, 1, 6, 2, 6, 6] 
dagH16.txt 3_2x4.txt 0.08627450980392157 0.1 692.3333333333334 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 0, 0, 2, 2] 
dagH16.txt 3_2x4.txt 0.19215686274509805 0.2 506.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4, 2, 0, 2, 0, 0, 0, 0, 0, 0, 4, 2, 0, 2, 2, 2, 2, 0, 2, 4, 2, 0, 4, 2, 4, 0, 2, 2, 0, 2, 6, 4, 2, 2, 2, 0, 2, 2, 2, 2, 6, 2, 2, 2, 2] 
dagH16.txt 3_2x4.txt 0.2823529411764706 0.3 302.6666666666667 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 0, 0, 2, 0, 4, 0, 0, 1, 0, 2, 2, 4, 0, 2, 2, 2, 4, 0, 6, 4, 2, 0, 2, 2, 6, 2, 4, 2, 2, 6, 2, 2, 2, 2, 2, 2, 2, 6, 6, 2, 2, 6, 2, 2, 2, 2, 2, 6, 2, 2, 2, 2, 2, 6, 2, 2, 2, 6, 6] 
dagH16.txt 5_4_3_2x2.txt 0.5803921568627451 0.6 88.5 [0, 3, 0, 4, 3, 6, 6, 3, 3, 3, 0, 1, 2, 6, 3, 2, 6, 4, 0, 0, 0, 6, 3, 3, 0, 0, 0, 4, 2, 2, 4, 6, 7, 6, 6, 1, 0, 4, 2, 1, 1, 7, 4, 6, 4, 2, 2, 3, 1, 1, 5, 7, 4, 4, 5, 7, 5, 4, 0, 1, 1, 7, 1, 4, 5, 1, 5, 5, 1, 5, 2, 0, 5, 5, 7, 1, 4, 5, 5, 7, 2, 5, 4, 5, 5] 
