dagQ26.txt 3_2x4.txt 0.39929947460595444 0.4 329.0 [1, 7, 7, 7, 7, 7, 1, 1, 7, 1, 7, 1, 7, 7, 1, 7, 7, 1, 7, 1, 1, 0, 7, 1, 7, 7, 1, 7, 1, 1, 7, 1, 5, 1, 1, 7, 7, 7, 5, 5, 1, 5, 4, 1, 1, 7, 5, 4, 5, 4, 1, 5, 5, 1, 5, 5, 7, 1, 5, 4, 5, 5, 4, 4, 4, 4, 5, 5, 4, 4, 5, 5, 0, 5, 4, 4, 5, 5, 4, 4, 4, 6, 4, 4, 5, 4, 4, 5, 5, 4, 4, 4, 0, 0, 4, 0, 6, 0, 6, 0, 4, 0, 0, 0, 5, 4, 0, 0, 0, 0, 6, 0, 6, 0, 0, 6, 6, 0, 0, 0, 0, 0, 6, 0, 0, 6, 6, 0, 6, 6, 6, 6, 6, 6, 0, 6, 6, 0, 6, 3, 2, 6, 6, 2, 6, 3, 3, 2, 2, 6, 6, 2, 2, 6, 6, 3, 2, 3, 3, 2, 2, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 2, 2, 3, 3, 2, 2, 3, 0, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 2] 
dagQ26.txt 3_2x4.txt 0.4746059544658494 0.5 268.6666666666667 [4, 4, 4, 6, 4, 4, 6, 6, 4, 6, 4, 4, 4, 4, 4, 6, 4, 6, 6, 4, 6, 6, 4, 6, 4, 4, 6, 4, 4, 4, 6, 6, 7, 6, 4, 4, 6, 6, 7, 7, 6, 6, 0, 6, 6, 4, 7, 7, 0, 7, 6, 0, 7, 0, 7, 0, 6, 6, 6, 7, 0, 0, 0, 0, 7, 7, 7, 0, 0, 7, 4, 0, 0, 0, 7, 0, 5, 7, 0, 7, 0, 5, 0, 7, 0, 7, 0, 7, 0, 2, 0, 5, 0, 5, 0, 5, 5, 7, 5, 5, 2, 5, 5, 0, 6, 0, 5, 3, 3, 5, 5, 5, 5, 3, 5, 0, 5, 3, 5, 7, 5, 3, 3, 5, 0, 3, 4, 4, 1, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 2, 3, 1, 3, 1, 1, 3, 2, 2, 1, 1, 3, 1, 1, 3, 3, 1, 2, 1, 3, 2, 2, 1, 4, 1, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 6, 2, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2] 
dagQ26.txt 3_2x4.txt 0.44308231173380036 0.45 270.0 [1, 7, 7, 4, 7, 7, 1, 1, 7, 1, 7, 1, 7, 7, 1, 6, 7, 1, 7, 0, 2, 4, 7, 1, 7, 7, 1, 7, 1, 1, 7, 1, 5, 1, 1, 7, 7, 4, 5, 5, 1, 5, 4, 1, 1, 7, 5, 4, 5, 4, 1, 5, 5, 1, 5, 5, 7, 1, 5, 4, 6, 5, 4, 4, 4, 4, 5, 5, 4, 4, 0, 5, 0, 5, 4, 4, 5, 5, 4, 4, 4, 6, 4, 4, 5, 4, 4, 5, 5, 4, 4, 4, 0, 0, 4, 0, 6, 0, 6, 0, 4, 0, 0, 0, 6, 4, 0, 0, 0, 0, 6, 0, 6, 0, 0, 6, 6, 0, 0, 0, 0, 0, 6, 0, 0, 6, 6, 0, 6, 6, 6, 6, 6, 6, 0, 6, 6, 0, 6, 2, 2, 6, 6, 2, 6, 3, 3, 2, 2, 6, 6, 2, 2, 6, 6, 3, 2, 3, 3, 2, 2, 3, 2, 3, 3, 3, 2, 3, 3, 2, 3, 2, 2, 2, 3, 2, 2, 3, 0, 3, 2, 2, 3, 3, 3, 3, 2, 3, 2, 2] 
dagQ26.txt 3_2x4.txt 0.4448336252189142 0.55 268.6666666666667 [1, 1, 1, 6, 1, 1, 5, 5, 1, 5, 1, 1, 1, 0, 1, 6, 1, 5, 5, 0, 2, 4, 1, 5, 1, 1, 5, 1, 1, 1, 5, 5, 5, 5, 1, 1, 5, 6, 5, 5, 5, 5, 2, 2, 6, 1, 5, 2, 2, 2, 6, 6, 5, 6, 2, 2, 5, 5, 5, 6, 2, 6, 6, 6, 2, 2, 2, 6, 6, 2, 6, 6, 6, 2, 6, 2, 0, 6, 6, 6, 2, 0, 6, 6, 2, 2, 6, 6, 6, 2, 6, 6, 0, 6, 2, 0, 0, 0, 2, 0, 0, 0, 0, 2, 6, 2, 0, 7, 0, 0, 7, 0, 7, 7, 0, 2, 7, 0, 0, 0, 0, 7, 7, 0, 0, 7, 7, 0, 3, 7, 0, 7, 7, 3, 0, 7, 7, 0, 7, 0, 3, 3, 7, 3, 3, 3, 4, 4, 3, 3, 7, 3, 3, 0, 7, 4, 4, 3, 3, 4, 4, 7, 2, 3, 3, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 3, 3, 3, 4, 4, 4, 4, 4] 
dagQ26.txt 3_2x4.txt 0.44658493870402804 0.6 270.0 [2, 2, 2, 4, 2, 2, 7, 7, 2, 7, 2, 2, 2, 2, 2, 6, 2, 7, 7, 2, 7, 6, 2, 7, 2, 2, 7, 2, 2, 2, 2, 7, 5, 7, 7, 2, 7, 2, 5, 5, 7, 7, 5, 7, 5, 2, 5, 5, 5, 0, 7, 5, 5, 7, 5, 5, 7, 7, 5, 5, 2, 0, 0, 5, 0, 5, 5, 5, 0, 0, 4, 5, 0, 5, 5, 0, 3, 5, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 3, 3, 6, 6, 6, 0, 3, 3, 6, 6, 0, 3, 0, 3, 3, 6, 6, 6, 3, 3, 6, 6, 6, 6, 6, 0, 3, 6, 3, 3, 3, 6, 0, 1, 3, 3, 6, 3, 1, 1, 3, 3, 6, 3, 2, 6, 1, 6, 1, 1, 6, 4, 4, 1, 1, 3, 1, 1, 3, 3, 1, 4, 1, 6, 4, 4, 1, 2, 1, 1, 1, 4, 4, 1, 4, 1, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 1, 1, 1, 4, 4, 4, 4, 4] 
dagQ26.txt 3_2x4.txt 0.4500875656742557 0.7 268.6666666666667 [1, 1, 1, 6, 1, 1, 3, 3, 1, 3, 1, 1, 1, 0, 1, 0, 1, 3, 3, 0, 3, 4, 1, 3, 1, 1, 3, 1, 1, 1, 3, 3, 6, 3, 1, 1, 3, 2, 6, 6, 3, 3, 6, 3, 3, 1, 7, 6, 7, 6, 3, 7, 6, 7, 6, 6, 3, 3, 3, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 4, 7, 2, 7, 6, 7, 2, 7, 6, 6, 6, 2, 7, 6, 7, 6, 7, 7, 6, 7, 7, 6, 2, 2, 7, 0, 2, 7, 2, 2, 0, 2, 0, 7, 2, 6, 0, 0, 0, 0, 2, 2, 2, 0, 0, 2, 2, 0, 2, 7, 2, 0, 2, 2, 0, 2, 2, 0, 4, 0, 0, 2, 5, 4, 0, 0, 5, 0, 5, 4, 0, 4, 0, 0, 4, 0, 4, 4, 4, 4, 5, 0, 5, 0, 5, 4, 5, 4, 0, 2, 4, 2, 0, 4, 5, 4, 5, 5, 4, 5, 4, 5, 4, 4, 4, 5, 5, 4, 4, 5, 4, 5, 4, 4, 4, 5, 6, 5, 4, 5] 
dagQ26.txt 3_2x4.txt 0.46409807355516636 0.9 268.6666666666667 [0, 0, 0, 6, 0, 0, 6, 6, 0, 6, 0, 0, 0, 0, 0, 6, 0, 6, 6, 0, 6, 6, 0, 6, 0, 0, 6, 0, 0, 0, 0, 6, 3, 6, 6, 0, 6, 6, 3, 3, 6, 6, 7, 6, 6, 0, 3, 7, 3, 7, 6, 3, 3, 6, 3, 7, 6, 6, 3, 3, 2, 7, 7, 7, 7, 7, 3, 3, 7, 7, 6, 3, 3, 3, 3, 7, 3, 3, 7, 3, 7, 1, 7, 3, 3, 7, 7, 4, 7, 6, 7, 1, 0, 3, 7, 1, 1, 5, 2, 1, 0, 1, 1, 1, 0, 2, 1, 7, 1, 1, 4, 1, 5, 1, 1, 0, 5, 1, 1, 5, 1, 5, 5, 5, 1, 5, 1, 4, 2, 1, 1, 2, 2, 2, 5, 5, 2, 5, 2, 2, 5, 2, 5, 5, 2, 5, 4, 2, 5, 2, 4, 5, 4, 5, 2, 2, 2, 5, 5, 4, 2, 2, 5, 2, 4, 2, 4, 4, 2, 4, 2, 4, 4, 4, 2, 4, 2, 2, 4, 4, 4, 4, 2, 2, 2, 2, 4, 4, 4, 4] 
dagQ26.txt 3_2x4.txt 0.45183887915936954 0.65 269.3333333333333 [7, 7, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 7, 2, 5, 4, 5, 5, 5, 7, 7, 6, 5, 7, 5, 5, 5, 5, 7, 5, 7, 7, 2, 7, 5, 0, 7, 2, 2, 2, 7, 5, 0, 7, 2, 5, 2, 2, 2, 0, 7, 2, 2, 7, 2, 2, 7, 7, 2, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 0, 6, 2, 2, 2, 2, 0, 2, 0, 2, 0, 0, 4, 0, 0, 4, 0, 2, 0, 2, 0, 0, 0, 4, 2, 0, 4, 4, 1, 0, 4, 0, 4, 4, 4, 2, 0, 4, 1, 4, 4, 4, 4, 1, 4, 4, 2, 1, 4, 4, 4, 4, 1, 1, 1, 4, 4, 1, 4, 1, 4, 4, 3, 1, 1, 1, 1, 1, 4, 1, 0, 3, 3, 1, 3, 1, 3, 3, 3, 1, 1, 6, 3, 3, 4, 6, 3, 4, 1, 3, 6, 6, 1, 3, 6, 6, 3, 6, 6, 3, 6, 3, 6, 3, 6, 6, 3, 6, 3, 0, 6, 6, 6, 6, 3, 3, 6, 6, 6, 6, 6] 
dagQ26.txt 3_2x4.txt 0.4553415061295972 0.8 269.6666666666667 [7, 7, 7, 6, 7, 7, 5, 5, 7, 5, 5, 7, 7, 7, 7, 2, 7, 5, 5, 4, 0, 6, 7, 5, 7, 7, 5, 7, 7, 7, 5, 5, 1, 5, 5, 7, 5, 2, 1, 1, 5, 1, 2, 5, 5, 7, 1, 2, 1, 2, 5, 2, 1, 5, 1, 1, 5, 5, 1, 2, 4, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 4, 2, 2, 2, 2, 6, 2, 2, 1, 2, 1, 2, 2, 0, 2, 2, 6, 1, 1, 4, 6, 6, 6, 6, 4, 4, 4, 4, 2, 0, 4, 1, 4, 4, 6, 4, 6, 3, 4, 6, 6, 4, 6, 4, 4, 6, 6, 4, 4, 3, 6, 4, 0, 3, 4, 6, 6, 0, 4, 6, 3, 4, 6, 6, 4, 6, 0, 0, 0, 4, 0, 3, 0, 0, 0, 4, 0, 3, 3, 0, 3, 0, 4, 2, 3, 6, 0, 3, 0, 0, 3, 0, 0, 3, 0, 3, 3, 0, 3, 3, 3, 0, 6, 0, 0, 3, 3, 0, 0, 3, 0, 3, 4, 3] 
dagQ26.txt 3_2x4.txt 0.46234676007005254 1 268.3333333333333 [7, 5, 5, 6, 5, 5, 5, 7, 5, 7, 7, 7, 5, 0, 7, 2, 5, 5, 7, 0, 2, 4, 5, 5, 5, 7, 7, 5, 7, 7, 7, 7, 5, 7, 7, 5, 7, 6, 5, 5, 7, 5, 3, 3, 3, 5, 5, 3, 2, 2, 3, 3, 5, 2, 3, 3, 7, 7, 7, 2, 2, 3, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 3, 2, 2, 0, 2, 2, 3, 2, 3, 2, 3, 4, 2, 0, 0, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 6, 0, 0, 6, 0, 6, 6, 6, 0, 4, 0, 0, 6, 6, 0, 4, 4, 6, 6, 6, 4, 6, 4, 4, 6, 4, 6, 6, 1, 6, 1, 4, 6, 6, 4, 6, 1, 6, 4, 4, 4, 6, 6, 4, 4, 4, 1, 4, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 4, 4, 0, 1, 4, 1, 1, 4, 6, 4, 1, 1] 
