dagK43.txt 3_2x4.txt 0.07 50 0.29846938775510207 True 0.3 286.5 [0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 3, 3, 1, 1, 1, 3, 3, 3, 0, 3, 3, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 6, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 7, 3, 6, 3, 7, 6, 6, 2, 7, 3, 6, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 5, 5, 7, 7, 7, 7, 5, 4, 5, 7, 7, 7, 5, 4, 7, 5, 7, 5, 7, 7, 4] 
dagK43.txt 3_2x4.txt 0.07 50 0.3979591836734694 True 0.4 523.0 [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 3, 3, 0, 0, 1, 3, 2, 2, 2, 3, 2, 1, 3, 2, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 5, 2, 3, 2, 2, 4, 5, 2, 2, 3, 3, 2, 2, 3, 3, 2, 5, 4, 7, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 5, 4, 5, 7, 4, 4, 4, 4, 7, 7, 4, 5, 4, 5, 7, 5, 4, 7, 7, 4, 7, 4, 7, 4, 7, 4, 6, 4, 7, 6, 6, 4, 7, 6, 4, 6, 6, 6, 6, 7, 7, 6, 6, 7, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.5 True 0.5 287.0 [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 3, 1, 0, 1, 1, 0, 1, 1, 0, 3, 3, 0, 1, 1, 3, 2, 2, 1, 3, 1, 1, 3, 2, 3, 3, 3, 3, 2, 1, 3, 2, 3, 3, 5, 3, 3, 2, 2, 1, 5, 2, 2, 3, 3, 2, 2, 3, 3, 2, 5, 4, 7, 5, 5, 5, 5, 5, 5, 5, 2, 5, 1, 5, 1, 5, 7, 4, 4, 4, 1, 7, 7, 4, 5, 4, 5, 7, 5, 4, 7, 7, 1, 7, 4, 7, 4, 7, 1, 1, 4, 7, 1, 1, 4, 7, 6, 4, 6, 6, 1, 6, 7, 7, 6, 1, 7, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.5994897959183674 True 0.6 189.5 [0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 3, 3, 0, 7, 1, 1, 1, 7, 3, 7, 0, 1, 1, 0, 5, 1, 0, 3, 3, 0, 3, 1, 3, 1, 3, 1, 3, 1, 1, 3, 2, 3, 3, 3, 3, 2, 5, 7, 2, 3, 3, 5, 5, 3, 2, 1, 5, 5, 2, 2, 3, 3, 2, 1, 3, 3, 2, 5, 4, 7, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 1, 5, 7, 4, 4, 4, 3, 7, 7, 3, 5, 4, 5, 7, 5, 1, 7, 7, 7, 7, 4, 7, 5, 7, 3, 1, 4, 7, 1, 1, 4, 7, 1, 4, 5, 6, 5, 6, 7, 7, 6, 7, 7, 6, 6, 6, 6, 6, 1] 
dagK43.txt 3_2x4.txt 0.07 50 0.6964285714285714 True 0.7 289.0 [0, 3, 1, 1, 3, 1, 1, 3, 3, 6, 3, 1, 1, 3, 3, 3, 3, 3, 6, 0, 5, 1, 6, 0, 0, 1, 6, 1, 4, 0, 1, 3, 1, 4, 6, 1, 1, 1, 3, 3, 2, 7, 3, 1, 0, 1, 7, 1, 2, 7, 1, 7, 5, 3, 6, 5, 5, 2, 3, 2, 7, 2, 1, 1, 6, 7, 6, 0, 7, 1, 5, 0, 5, 5, 7, 2, 2, 1, 6, 5, 5, 6, 5, 0, 2, 2, 2, 1, 7, 7, 6, 3, 5, 2, 7, 5, 2, 0, 7, 3, 7, 5, 7, 3, 5, 1, 5, 4, 7, 2, 5, 5, 7, 4, 4, 6, 5, 4, 4, 5, 7, 7, 5, 5, 4, 4, 4, 4, 4, 5] 
dagK43.txt 3_2x4.txt 0.07 50 0.7678571428571429 True 1 186.75 [3, 3, 1, 1, 3, 3, 1, 3, 3, 6, 3, 1, 1, 7, 3, 3, 3, 5, 5, 3, 0, 1, 3, 0, 7, 1, 6, 3, 0, 0, 3, 3, 1, 1, 6, 3, 5, 1, 3, 3, 4, 7, 3, 0, 0, 1, 1, 7, 2, 2, 0, 1, 7, 2, 2, 5, 5, 3, 1, 2, 7, 3, 1, 1, 7, 7, 6, 0, 7, 7, 5, 0, 5, 5, 7, 2, 2, 1, 6, 1, 7, 3, 7, 2, 2, 7, 0, 7, 7, 7, 1, 6, 5, 7, 4, 5, 6, 3, 5, 1, 7, 5, 7, 6, 5, 5, 5, 6, 5, 1, 1, 4, 7, 1, 4, 3, 5, 1, 5, 5, 7, 7, 5, 5, 4, 4, 4, 4, 4, 5] 
dagK43.txt 3_2x4.txt 0.07 50 0.1377551020408163 True 0.15 808.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.18622448979591838 True 0.2 1103.0 [7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 2, 7, 7, 7, 0, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 1, 1, 6, 6, 7, 7, 6, 6, 7, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.29846938775510207 True 0.3 286.5 [0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 3, 3, 1, 1, 1, 3, 3, 3, 0, 3, 3, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 6, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 7, 3, 6, 3, 7, 6, 6, 2, 7, 3, 6, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 5, 5, 7, 7, 7, 7, 5, 4, 5, 7, 7, 7, 5, 4, 7, 5, 7, 5, 7, 7, 4] 
dagK43.txt 3_2x4.txt 0.07 50 0.3979591836734694 True 0.4 523.0 [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 3, 3, 0, 0, 1, 3, 2, 2, 2, 3, 2, 1, 3, 2, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 5, 2, 3, 2, 2, 4, 5, 2, 2, 3, 3, 2, 2, 3, 3, 2, 5, 4, 7, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 5, 4, 5, 7, 4, 4, 4, 4, 7, 7, 4, 5, 4, 5, 7, 5, 4, 7, 7, 4, 7, 4, 7, 4, 7, 4, 6, 4, 7, 6, 6, 4, 7, 6, 4, 6, 6, 6, 6, 7, 7, 6, 6, 7, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.5 True 0.5 287.0 [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 3, 1, 0, 1, 1, 0, 1, 1, 0, 3, 3, 0, 1, 1, 3, 2, 2, 1, 3, 1, 1, 3, 2, 3, 3, 3, 3, 2, 1, 3, 2, 3, 3, 5, 3, 3, 2, 2, 1, 5, 2, 2, 3, 3, 2, 2, 3, 3, 2, 5, 4, 7, 5, 5, 5, 5, 5, 5, 5, 2, 5, 1, 5, 1, 5, 7, 4, 4, 4, 1, 7, 7, 4, 5, 4, 5, 7, 5, 4, 7, 7, 1, 7, 4, 7, 4, 7, 1, 1, 4, 7, 1, 1, 4, 7, 6, 4, 6, 6, 1, 6, 7, 7, 6, 1, 7, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.5994897959183674 True 0.6 189.5 [0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 3, 3, 0, 7, 1, 1, 1, 7, 3, 7, 0, 1, 1, 0, 5, 1, 0, 3, 3, 0, 3, 1, 3, 1, 3, 1, 3, 1, 1, 3, 2, 3, 3, 3, 3, 2, 5, 7, 2, 3, 3, 5, 5, 3, 2, 1, 5, 5, 2, 2, 3, 3, 2, 1, 3, 3, 2, 5, 4, 7, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 1, 5, 7, 4, 4, 4, 3, 7, 7, 3, 5, 4, 5, 7, 5, 1, 7, 7, 7, 7, 4, 7, 5, 7, 3, 1, 4, 7, 1, 1, 4, 7, 1, 4, 5, 6, 5, 6, 7, 7, 6, 7, 7, 6, 6, 6, 6, 6, 1] 
dagK43.txt 3_2x4.txt 0.07 50 0.6938775510204082 True 0.7 221.0 [2, 3, 1, 1, 3, 4, 1, 3, 3, 3, 0, 1, 1, 3, 3, 3, 3, 3, 5, 6, 1, 1, 3, 6, 3, 1, 0, 1, 2, 1, 1, 3, 4, 1, 1, 5, 1, 1, 3, 3, 4, 0, 3, 0, 1, 1, 5, 1, 6, 7, 7, 1, 5, 7, 1, 5, 5, 2, 1, 2, 0, 3, 1, 1, 3, 7, 6, 0, 7, 1, 5, 1, 6, 0, 7, 1, 7, 1, 6, 7, 5, 5, 7, 2, 3, 7, 5, 1, 7, 7, 5, 2, 3, 0, 5, 5, 5, 5, 7, 6, 7, 2, 7, 7, 5, 7, 5, 6, 7, 0, 2, 6, 7, 4, 5, 7, 5, 4, 4, 5, 7, 7, 5, 5, 2, 4, 4, 3, 4, 5] 
dagK43.txt 3_2x4.txt 0.07 50 0.7678571428571429 True 1 187.0 [3, 3, 2, 1, 3, 3, 1, 3, 0, 6, 3, 1, 1, 7, 3, 3, 3, 3, 5, 3, 1, 1, 3, 0, 7, 5, 6, 3, 0, 0, 1, 3, 1, 1, 6, 3, 5, 1, 3, 3, 2, 7, 3, 0, 0, 1, 3, 7, 2, 1, 0, 1, 7, 2, 2, 5, 5, 3, 1, 2, 7, 2, 1, 1, 7, 7, 6, 5, 7, 7, 5, 0, 5, 5, 7, 2, 2, 1, 7, 1, 6, 3, 7, 7, 5, 0, 0, 7, 7, 7, 1, 6, 5, 2, 4, 5, 6, 3, 5, 1, 6, 5, 7, 6, 5, 5, 5, 4, 7, 1, 1, 4, 7, 1, 4, 3, 5, 1, 5, 5, 7, 7, 5, 5, 4, 4, 4, 4, 4, 5] 
dagK43.txt 3_2x4.txt 0.07 50 0.1377551020408163 True 0.15 808.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.18622448979591838 True 0.2 1103.0 [7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 2, 7, 7, 7, 0, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 1, 1, 6, 6, 7, 7, 6, 6, 7, 6, 6, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.29846938775510207 True 0.3 286.5 [0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 3, 1, 1, 1, 0, 1, 3, 3, 1, 1, 1, 3, 3, 3, 0, 3, 3, 1, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 7, 6, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 7, 3, 6, 3, 7, 6, 6, 2, 7, 3, 6, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 5, 5, 7, 7, 7, 7, 5, 4, 5, 7, 7, 7, 5, 4, 7, 5, 7, 5, 7, 7, 4] 
dagK43.txt 3_2x4.txt 0.07 50 0.3979591836734694 True 0.4 523.0 [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 3, 3, 0, 0, 1, 3, 2, 2, 2, 3, 2, 1, 3, 2, 3, 3, 3, 3, 2, 2, 3, 2, 3, 3, 5, 2, 3, 2, 2, 4, 5, 2, 2, 3, 3, 2, 2, 3, 3, 2, 5, 4, 7, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 5, 4, 5, 7, 4, 4, 4, 4, 7, 7, 4, 5, 4, 5, 7, 5, 4, 7, 7, 4, 7, 4, 7, 4, 7, 4, 6, 4, 7, 6, 6, 4, 7, 6, 4, 6, 6, 6, 6, 7, 7, 6, 6, 7, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.5 True 0.5 287.0 [0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 3, 1, 0, 1, 1, 0, 1, 1, 0, 3, 3, 0, 1, 1, 3, 2, 2, 1, 3, 1, 1, 3, 2, 3, 3, 3, 3, 2, 1, 3, 2, 3, 3, 5, 3, 3, 2, 2, 1, 5, 2, 2, 3, 3, 2, 2, 3, 3, 2, 5, 4, 7, 5, 5, 5, 5, 5, 5, 5, 2, 5, 1, 5, 1, 5, 7, 4, 4, 4, 1, 7, 7, 4, 5, 4, 5, 7, 5, 4, 7, 7, 1, 7, 4, 7, 4, 7, 1, 1, 4, 7, 1, 1, 4, 7, 6, 4, 6, 6, 1, 6, 7, 7, 6, 1, 7, 6, 6, 6, 6, 6, 6] 
dagK43.txt 3_2x4.txt 0.07 50 0.5994897959183674 True 0.6 189.5 [0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 3, 3, 0, 7, 1, 1, 1, 7, 3, 7, 0, 1, 1, 0, 5, 1, 0, 3, 3, 0, 3, 1, 3, 1, 3, 1, 3, 1, 1, 3, 2, 3, 3, 3, 3, 2, 5, 7, 2, 3, 3, 5, 5, 3, 2, 1, 5, 5, 2, 2, 3, 3, 2, 1, 3, 3, 2, 5, 4, 7, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 1, 5, 7, 4, 4, 4, 3, 7, 7, 3, 5, 4, 5, 7, 5, 1, 7, 7, 7, 7, 4, 7, 5, 7, 3, 1, 4, 7, 1, 1, 4, 7, 1, 4, 5, 6, 5, 6, 7, 7, 6, 7, 7, 6, 6, 6, 6, 6, 1] 
dagK43.txt 3_2x4.txt 0.07 50 0.6989795918367347 True 0.7 202.0 [3, 3, 1, 2, 3, 3, 1, 3, 3, 3, 3, 1, 1, 1, 1, 3, 7, 3, 5, 3, 1, 7, 3, 4, 3, 3, 1, 1, 1, 5, 1, 3, 6, 1, 0, 5, 1, 1, 3, 3, 1, 1, 3, 0, 4, 6, 2, 1, 2, 3, 0, 5, 5, 1, 7, 5, 5, 7, 1, 5, 0, 3, 1, 7, 7, 0, 5, 6, 7, 1, 5, 7, 5, 2, 7, 7, 2, 1, 6, 2, 7, 1, 5, 0, 3, 4, 0, 3, 7, 7, 6, 5, 5, 2, 1, 5, 1, 5, 7, 3, 7, 2, 7, 7, 5, 0, 7, 6, 7, 6, 1, 4, 7, 4, 5, 3, 5, 7, 4, 5, 7, 7, 5, 5, 6, 4, 4, 5, 4, 5] 
dagK43.txt 3_2x4.txt 0.07 50 0.7704081632653061 True 1 187.0 [3, 3, 1, 1, 3, 3, 1, 3, 3, 6, 3, 1, 1, 7, 3, 3, 3, 5, 5, 3, 0, 1, 3, 0, 7, 1, 6, 3, 0, 0, 3, 3, 1, 2, 6, 3, 5, 1, 3, 3, 4, 7, 3, 0, 1, 1, 1, 7, 2, 1, 0, 1, 7, 6, 2, 5, 5, 3, 1, 2, 7, 3, 0, 1, 7, 7, 6, 5, 7, 7, 5, 0, 5, 5, 7, 2, 2, 1, 6, 1, 7, 3, 7, 2, 2, 5, 0, 7, 7, 7, 1, 6, 5, 2, 4, 5, 6, 3, 5, 1, 7, 5, 7, 6, 5, 5, 5, 3, 7, 1, 1, 4, 7, 1, 4, 3, 5, 1, 5, 5, 7, 7, 5, 5, 4, 4, 4, 4, 4, 5] 
