dagM11.txt 3_2x4.txt True 0.05133928571428571 0.07 1003.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 3, 7, 3, 3, 7, 7, 7, 3, 7, 3, 3, 7, 7, 7, 3, 3, 3] 
dagM11.txt 3_2x4.txt True 0.09598214285714286 0.1 468.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 7, 7, 1, 1, 7, 7, 7, 7, 1, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagM11.txt 3_2x4.txt True 0.10491071428571429 0.15 713.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 3, 7, 1, 1, 0, 0, 7, 7, 7, 7, 1, 7, 1, 7, 7, 0, 7, 0, 1, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 2, 7, 7] 
dagM11.txt 3_2x4.txt True 0.15178571428571427 0.2 629.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 7, 2, 3, 2, 2, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 7, 0, 7, 7, 0, 7, 7, 7, 0, 7, 1, 1, 0, 0, 0, 1, 1, 0, 1, 7, 7, 0, 1, 7, 1] 
dagM11.txt 3_2x4.txt True 0.16741071428571427 0.3 659.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 1, 1, 1, 3, 3, 3, 3, 1, 3, 7, 1, 3, 1, 1, 7, 7, 7, 7, 1, 7, 1, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 7, 7, 0, 0, 7, 7, 0, 7, 0, 0, 0, 7, 7, 0, 7, 0, 0, 7, 7, 7, 0, 0, 7] 
dagM11.txt 3_2x4.txt True 0.16741071428571427 0.4 659.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 1, 1, 1, 3, 3, 3, 3, 1, 3, 7, 1, 3, 1, 1, 7, 7, 7, 7, 1, 7, 1, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 7, 7, 0, 0, 7, 7, 0, 7, 0, 0, 0, 7, 7, 0, 7, 0, 0, 7, 7, 7, 0, 0, 7] 
dagM11.txt 3_2x4.txt True 0.44419642857142855 0.5 311.25 [7, 7, 7, 1, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 1, 0, 7, 0, 3, 1, 1, 7, 7, 3, 1, 1, 7, 3, 7, 3, 3, 3, 5, 0, 3, 5, 3, 5, 0, 5, 5, 7, 3, 2, 5, 5, 3, 5, 3, 5, 3, 5, 3, 5, 5, 3, 3, 5, 3, 5, 5, 3, 3, 5, 5, 3, 3, 3, 1, 3, 1, 5, 1, 5, 4, 3, 1, 5, 3, 3, 1, 1, 5, 4, 3, 5, 5, 5, 4, 5, 5, 1, 5, 5, 5, 5, 4, 5, 5, 5, 7, 4, 4, 1, 7, 5, 5, 5, 7, 6, 5, 5, 7, 7, 5, 1, 1, 5, 1, 7, 6, 7, 5, 7, 1, 6, 5, 1, 6, 5, 1, 1, 1, 7, 7, 1, 6, 7, 1, 1, 7, 7, 1, 6, 1] 
dagM11.txt 3_2x4.txt True 0.4419642857142857 0.6 273.5 [5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 1, 1, 5, 5, 5, 1, 4, 1, 5, 4, 4, 5, 3, 1, 5, 5, 1, 5, 5, 1, 1, 3, 4, 5, 6, 4, 5, 3, 5, 6, 5, 6, 7, 5, 7, 4, 5, 5, 6, 7, 5, 6, 5, 4, 0, 5, 5, 5, 7, 3, 7, 7, 6, 6, 7, 5, 7, 7, 7, 5, 7, 5, 3, 7, 3, 7, 3, 7, 7, 5, 3, 3, 7, 7, 7, 3, 7, 7, 5, 3, 0, 3, 7, 3, 1, 3, 3, 0, 1, 3, 7, 1, 3, 3, 3, 0, 7, 7, 3, 3, 3, 1, 3, 0, 1, 3, 1, 3, 1, 1, 3, 3, 3, 3, 1, 1, 3, 3, 3, 0, 1, 1, 1, 1, 1, 1, 2, 3, 3, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1] 
dagM11.txt 3_2x4.txt True 0.45982142857142855 0.7 251.5 [3, 5, 3, 5, 3, 3, 1, 5, 3, 3, 3, 2, 3, 3, 3, 5, 3, 3, 1, 3, 1, 2, 3, 1, 3, 1, 3, 3, 1, 3, 3, 1, 3, 2, 2, 1, 2, 3, 2, 1, 0, 0, 1, 1, 1, 1, 1, 3, 3, 0, 1, 0, 1, 0, 3, 7, 3, 3, 3, 1, 7, 7, 7, 0, 3, 3, 3, 7, 3, 3, 3, 7, 3, 7, 7, 7, 3, 3, 3, 1, 7, 7, 7, 7, 7, 7, 3, 7, 1, 3, 7, 6, 1, 1, 6, 5, 1, 5, 1, 6, 1, 6, 5, 5, 5, 5, 7, 6, 7, 5, 5, 5, 4, 5, 1, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 1, 4, 5, 1, 5, 4, 1, 5, 5, 5, 1, 1, 5, 4, 4, 5, 5, 1, 1, 1] 
dagM11.txt 3_2x4.txt True 0.6071428571428571 1 225.25 [2, 2, 2, 5, 3, 3, 3, 1, 3, 5, 3, 7, 2, 1, 3, 2, 1, 3, 2, 3, 3, 2, 3, 3, 7, 3, 2, 2, 0, 7, 3, 2, 3, 3, 3, 0, 3, 0, 3, 3, 3, 1, 7, 7, 1, 1, 2, 1, 1, 1, 7, 6, 0, 1, 0, 1, 0, 1, 0, 0, 6, 1, 5, 1, 1, 3, 1, 5, 0, 1, 1, 1, 1, 6, 1, 5, 4, 3, 0, 7, 1, 6, 6, 1, 7, 6, 7, 7, 7, 7, 1, 7, 6, 7, 5, 1, 3, 6, 7, 3, 5, 7, 5, 4, 5, 3, 6, 6, 7, 7, 5, 4, 5, 5, 7, 3, 1, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 7, 4, 5, 4, 5, 7, 7, 7, 1, 4, 5, 5, 7, 5, 7, 1, 4, 3, 5, 7, 5, 5] 
