dagO36.txt 3_2x4.txt True 0.25 0.25 1558.0 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 5, 6, 5, 3, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 6, 3, 3, 6, 6, 4, 6, 6, 6, 3, 3, 3, 5, 4, 4, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 4, 4, 4, 2, 4, 4, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 0, 1, 2, 1, 2, 2, 2, 0, 1, 2, 1, 2, 2, 2, 2, 0, 1, 1, 2, 2] 
dagO36.txt 3_2x4.txt True 0.296875 0.3 981.0 [4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 4, 5, 6, 5, 4, 5, 5, 5, 4, 4, 5, 4, 5, 5, 6, 6, 6, 5, 5, 6, 6, 6, 6, 6, 5, 7, 6, 7, 7, 6, 7, 7, 6, 6, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 2, 7, 7, 7, 7, 7, 7, 7, 3, 3, 3, 3, 2, 7, 7, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 0, 2, 2, 3, 2, 2, 3, 3, 2, 0, 2, 3, 0, 3, 0, 0, 1, 0, 2, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0] 
dagO36.txt 3_2x4.txt True 0.34765625 0.35 658.0 [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 3, 3, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 2, 3, 3, 4, 2, 2, 2, 2, 3, 4, 2, 4, 2, 2, 4, 2, 2, 2, 2, 4, 4, 4, 2, 2, 2, 4, 4, 4, 4, 4, 2, 2, 2, 4, 4, 4, 4, 4, 5, 4, 4, 5, 2, 4, 4, 6, 4, 5, 5, 5, 5, 5, 4, 5, 4, 6, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 6, 5, 6, 5, 7, 6, 6, 5, 7, 6, 5, 6, 6, 7, 7, 7, 6, 6, 7, 6, 7, 6, 6, 7, 6, 7, 7, 6, 6, 6, 7, 6, 7, 6, 6, 7, 6, 7, 7, 6, 7, 6] 
dagO36.txt 3_2x4.txt True 0.396484375 0.4 586.0 [5, 5, 5, 5, 4, 6, 5, 5, 4, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 4, 5, 5, 6, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 4, 6, 4, 5, 6, 4, 6, 6, 4, 4, 6, 6, 6, 6, 6, 2, 4, 6, 4, 6, 7, 6, 7, 7, 6, 7, 2, 7, 7, 7, 7, 6, 2, 6, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 3, 2, 3, 2, 3, 7, 7, 7, 2, 2, 2, 3, 2, 3, 3, 3, 3, 7, 3, 2, 2, 2, 3, 2, 3, 1, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 3, 1, 3, 2, 1, 2, 2, 0, 0, 1, 1, 3, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1] 
dagO36.txt 3_2x4.txt True 0.447265625 0.45 408.0 [5, 5, 5, 5, 1, 6, 5, 5, 4, 5, 5, 5, 5, 1, 5, 5, 5, 1, 5, 5, 4, 5, 5, 6, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 6, 4, 4, 6, 1, 6, 4, 5, 6, 4, 6, 6, 4, 4, 1, 6, 1, 6, 1, 1, 4, 6, 1, 1, 7, 6, 7, 7, 6, 1, 2, 7, 7, 7, 7, 6, 1, 6, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 3, 2, 3, 2, 3, 7, 7, 7, 2, 2, 1, 3, 2, 3, 3, 3, 3, 7, 3, 2, 2, 2, 3, 1, 3, 1, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 3, 1, 3, 2, 1, 2, 2, 0, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1] 
dagO36.txt 3_2x4.txt True 0.498046875 0.5 298.0 [5, 5, 5, 5, 1, 6, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 6, 1, 4, 6, 3, 6, 3, 5, 3, 4, 6, 6, 4, 4, 1, 6, 1, 6, 1, 1, 4, 6, 1, 1, 7, 6, 7, 7, 6, 7, 2, 7, 7, 7, 7, 3, 1, 6, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 3, 2, 3, 2, 3, 7, 7, 7, 3, 2, 1, 3, 2, 3, 3, 3, 3, 7, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 3, 1, 3, 2, 1, 2, 3, 0, 1, 1, 1, 3, 3, 1, 1, 1, 1, 5, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 5, 0, 5, 1, 0, 0, 0, 1, 3, 1, 0, 1] 
dagO36.txt 3_2x4.txt True 0.548828125 0.55 261.0 [5, 5, 5, 5, 1, 6, 5, 5, 3, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 1, 4, 4, 4, 6, 1, 4, 6, 7, 6, 3, 5, 3, 4, 6, 6, 4, 4, 1, 6, 7, 6, 7, 1, 4, 6, 1, 1, 7, 6, 7, 7, 6, 5, 2, 7, 7, 7, 7, 3, 1, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 3, 2, 3, 2, 3, 7, 7, 7, 3, 2, 5, 3, 2, 3, 3, 3, 3, 7, 3, 2, 3, 3, 3, 7, 3, 5, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 5, 1, 3, 2, 1, 2, 3, 0, 1, 1, 1, 3, 7, 1, 1, 1, 1, 5, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 7, 0, 1, 1, 5, 0, 5, 1, 0, 0, 0, 1, 7, 1, 3, 1] 
dagO36.txt 3_2x4.txt True 0.55859375 0.6 260.25 [5, 5, 5, 5, 1, 6, 5, 5, 3, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 1, 4, 4, 4, 1, 1, 4, 6, 7, 6, 3, 5, 3, 4, 6, 6, 4, 4, 1, 6, 7, 6, 7, 1, 4, 6, 1, 1, 7, 6, 7, 7, 6, 5, 2, 7, 7, 7, 7, 3, 1, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 3, 2, 3, 2, 3, 7, 7, 7, 3, 2, 5, 3, 2, 3, 3, 3, 3, 7, 3, 2, 3, 3, 3, 7, 3, 5, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 5, 1, 3, 2, 1, 2, 3, 0, 1, 1, 1, 3, 7, 1, 1, 1, 1, 5, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 7, 0, 1, 1, 5, 0, 5, 3, 0, 0, 0, 1, 7, 1, 3, 1] 
dagO36.txt 3_2x4.txt True 0.55859375 0.65 260.25 [5, 5, 5, 5, 1, 6, 5, 5, 3, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 1, 4, 4, 4, 1, 1, 4, 6, 7, 6, 3, 5, 3, 4, 6, 6, 4, 4, 1, 6, 7, 6, 7, 1, 4, 6, 1, 1, 7, 6, 7, 7, 6, 5, 2, 7, 7, 7, 7, 3, 1, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 3, 2, 3, 2, 3, 7, 7, 7, 3, 2, 5, 3, 2, 3, 3, 3, 3, 7, 3, 2, 3, 3, 3, 7, 3, 5, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 5, 1, 3, 2, 1, 2, 3, 0, 1, 1, 1, 3, 7, 1, 1, 1, 1, 5, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 7, 0, 1, 1, 5, 0, 5, 3, 0, 0, 0, 1, 7, 1, 3, 1] 
dagO36.txt 3_2x4.txt True 0.55859375 0.7 260.25 [5, 5, 5, 5, 1, 6, 5, 5, 3, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 1, 4, 4, 4, 1, 1, 4, 6, 7, 6, 3, 5, 3, 4, 6, 6, 4, 4, 1, 6, 7, 6, 7, 1, 4, 6, 1, 1, 7, 6, 7, 7, 6, 5, 2, 7, 7, 7, 7, 3, 1, 3, 7, 7, 7, 3, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 3, 2, 3, 2, 3, 7, 7, 7, 3, 2, 5, 3, 2, 3, 3, 3, 3, 7, 3, 2, 3, 3, 3, 7, 3, 5, 1, 3, 2, 3, 1, 3, 2, 3, 3, 3, 3, 5, 1, 3, 2, 1, 2, 3, 0, 1, 1, 1, 3, 7, 1, 1, 1, 1, 5, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 7, 0, 1, 1, 5, 0, 5, 3, 0, 0, 0, 1, 7, 1, 3, 1] 
