dagD28.txt 3_2x4.txt True 0.031413612565445025 0.07 451.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagD28.txt 3_2x4.txt True 0.07329842931937172 0.1 427.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagD28.txt 3_2x4.txt True 0.13089005235602094 0.15 404.25 [7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 1, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagD28.txt 3_2x4.txt True 0.19895287958115182 0.2 404.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 6, 5, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagD28.txt 3_2x4.txt True 0.2931937172774869 0.3 268.25 [3, 3, 7, 3, 3, 3, 3, 3, 3, 7, 3, 7, 7, 5, 3, 3, 7, 1, 3, 3, 1, 7, 3, 3, 7, 7, 7, 5, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagD28.txt 3_2x4.txt True 0.38219895287958117 0.4 173.5 [3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 5, 1, 7, 3, 5, 3, 6, 6, 3, 7, 7, 7, 7, 4, 7, 7, 7, 7, 4, 6, 7, 7, 6, 5, 7, 7, 7, 1, 1, 7, 7, 7, 6, 7, 7, 7, 4, 4, 7, 4, 7, 7, 7, 7, 6, 7] 
dagD28.txt 3_2x4.txt True 0.49214659685863876 0.5 228.0 [5, 5, 4, 5, 5, 6, 5, 5, 5, 5, 1, 4, 4, 5, 5, 7, 4, 7, 5, 6, 6, 4, 7, 6, 7, 1, 3, 1, 0, 4, 1, 0, 3, 3, 4, 0, 0, 2, 0, 2, 1, 1, 6, 3, 0, 3, 1, 0, 2, 3, 1, 1, 3, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 0, 0] 
dagD28.txt 3_2x4.txt True 0.5968586387434555 0.6 152.0 [2, 1, 0, 1, 1, 2, 1, 1, 1, 1, 1, 0, 0, 1, 1, 3, 0, 3, 2, 2, 3, 0, 1, 3, 2, 6, 7, 6, 7, 0, 1, 4, 4, 5, 1, 7, 5, 4, 7, 4, 6, 6, 3, 1, 7, 5, 1, 7, 4, 5, 6, 7, 6, 4, 5, 4, 5, 5, 5, 6, 5, 4, 1, 7, 7] 
dagD28.txt 3_2x4.txt True 0.6858638743455497 0.7 100.0 [2, 1, 0, 1, 3, 2, 1, 5, 1, 1, 3, 0, 0, 1, 1, 3, 0, 7, 2, 3, 7, 0, 3, 3, 5, 6, 7, 3, 7, 1, 5, 4, 4, 5, 7, 7, 5, 4, 7, 4, 6, 6, 3, 1, 7, 5, 1, 7, 4, 5, 6, 1, 6, 3, 5, 4, 5, 5, 5, 6, 5, 3, 1, 7, 7] 
dagD28.txt 3_2x4.txt True 0.7068062827225131 1 99.0 [2, 1, 5, 1, 3, 2, 1, 5, 1, 1, 3, 0, 0, 1, 1, 3, 0, 7, 2, 3, 7, 0, 3, 3, 5, 6, 7, 3, 7, 1, 5, 4, 4, 5, 7, 7, 5, 4, 7, 4, 6, 6, 3, 1, 7, 5, 1, 7, 4, 5, 6, 1, 6, 3, 5, 4, 5, 5, 5, 6, 5, 3, 1, 7, 7] 
