dagL12.txt 3_2x4.txt True 0.045023696682464455 0.07 925.75 [1, 1, 7, 1, 1, 7, 7, 1, 7, 1, 1, 7, 1, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL12.txt 3_2x4.txt True 0.045023696682464455 0.1 925.75 [1, 1, 7, 1, 1, 7, 7, 1, 7, 1, 1, 7, 1, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagL12.txt 3_2x4.txt True 0.11611374407582939 0.15 853.25 [4, 4, 7, 7, 4, 4, 7, 7, 7, 4, 4, 5, 7, 5, 7, 5, 7, 7, 7, 4, 7, 7, 7, 4, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 5, 7, 3, 7, 7, 7, 7, 5, 7, 3, 5, 7, 7, 7, 7] 
dagL12.txt 3_2x4.txt True 0.14691943127962084 0.2 849.25 [2, 3, 7, 7, 3, 7, 7, 7, 7, 3, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 0, 7, 7, 7, 1, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 1, 1, 1, 1, 0] 
dagL12.txt 3_2x4.txt True 0.14691943127962084 0.3 849.25 [2, 3, 7, 7, 3, 7, 7, 7, 7, 3, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 0, 7, 7, 7, 1, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 1, 1, 1, 1, 0] 
dagL12.txt 3_2x4.txt True 0.14691943127962084 0.4 849.25 [2, 3, 7, 7, 3, 7, 7, 7, 7, 3, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 0, 7, 7, 7, 1, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 1, 1, 1, 1, 0] 
dagL12.txt 3_2x4.txt True 0.43838862559241704 0.5 294.75 [1, 1, 3, 3, 2, 1, 3, 3, 3, 1, 1, 3, 3, 1, 3, 2, 3, 3, 3, 1, 3, 5, 3, 1, 3, 2, 3, 5, 3, 5, 5, 5, 0, 3, 3, 5, 5, 5, 3, 2, 5, 5, 5, 5, 5, 0, 2, 2, 5, 0, 5, 5, 5, 0, 0, 2, 5, 7, 0, 7, 5, 5, 0, 7, 7, 5, 0, 5, 0, 7, 1, 7, 1, 0, 7, 5, 5, 7, 7, 7, 5, 1, 1, 7, 5, 7, 4, 1, 5, 4, 7, 7, 4, 5, 5, 7, 4, 4, 1, 7, 4, 7, 4, 5, 4, 7, 7, 5, 5, 1, 1, 4, 5, 1, 1, 1, 5, 1, 4, 5, 5, 1, 5, 1, 1, 1, 1, 1, 1, 1, 5, 5, 1, 1, 1, 1, 1, 5, 1, 1] 
dagL12.txt 3_2x4.txt True 0.466824644549763 0.6 239.0 [3, 1, 1, 2, 3, 3, 3, 1, 1, 3, 1, 1, 2, 3, 2, 3, 1, 1, 1, 2, 1, 1, 2, 3, 3, 3, 1, 3, 2, 1, 3, 3, 7, 7, 7, 0, 1, 3, 1, 7, 3, 3, 1, 7, 0, 7, 7, 7, 1, 1, 3, 7, 0, 7, 7, 7, 7, 5, 1, 0, 7, 0, 7, 6, 5, 7, 7, 1, 7, 5, 7, 6, 7, 1, 5, 0, 0, 5, 5, 6, 0, 7, 5, 5, 7, 5, 7, 7, 6, 7, 7, 5, 5, 1, 7, 6, 0, 7, 7, 5, 6, 7, 1, 5, 7, 7, 5, 4, 5, 1, 5, 1, 1, 5, 1, 5, 5, 5, 1, 5, 5, 5, 4, 5, 5, 4, 4, 1, 5, 5, 1, 4, 4, 5, 1, 4, 5, 5, 5, 5] 
dagL12.txt 3_2x4.txt True 0.48578199052132703 0.7 219.5 [6, 3, 5, 3, 6, 3, 3, 5, 5, 3, 6, 5, 5, 3, 3, 6, 5, 5, 5, 5, 5, 5, 3, 6, 4, 5, 5, 3, 5, 3, 4, 3, 7, 7, 7, 5, 5, 4, 7, 7, 3, 3, 3, 5, 4, 7, 7, 7, 3, 3, 3, 7, 3, 7, 7, 7, 7, 3, 3, 5, 7, 3, 7, 3, 3, 7, 7, 3, 7, 7, 5, 3, 5, 7, 3, 5, 5, 3, 3, 7, 1, 7, 3, 7, 5, 7, 5, 1, 1, 5, 7, 7, 5, 1, 5, 5, 5, 5, 7, 7, 1, 7, 1, 1, 5, 2, 7, 1, 2, 1, 0, 1, 1, 0, 1, 7, 1, 1, 1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1] 
dagL12.txt 3_2x4.txt True 0.5947867298578199 1 210.0 [0, 0, 5, 1, 7, 5, 0, 1, 1, 0, 0, 5, 1, 0, 1, 7, 1, 1, 1, 3, 1, 2, 1, 5, 0, 3, 1, 7, 1, 7, 1, 1, 2, 3, 1, 2, 3, 1, 1, 3, 1, 2, 2, 3, 3, 3, 2, 2, 3, 2, 3, 3, 1, 3, 3, 1, 3, 3, 7, 3, 3, 2, 1, 3, 6, 3, 1, 7, 7, 7, 7, 7, 7, 3, 3, 3, 6, 7, 6, 7, 1, 7, 7, 6, 6, 7, 6, 7, 5, 6, 1, 7, 4, 5, 5, 3, 6, 1, 7, 6, 5, 7, 5, 3, 3, 5, 7, 7, 7, 5, 7, 5, 5, 4, 5, 7, 3, 4, 5, 7, 5, 5, 5, 3, 5, 7, 5, 5, 4, 4, 5, 5, 5, 4, 5, 4, 4, 4, 1, 7] 
