dagJ34.txt 3_2x4.txt True 0.055248618784530384 0.07 799.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 1, 5, 1] 
dagJ34.txt 3_2x4.txt True 0.055248618784530384 0.1 799.5 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 1, 1, 5, 1, 1, 1, 1, 5, 1, 1, 1, 5, 1] 
dagJ34.txt 3_2x4.txt True 0.09944751381215469 0.15 754.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 5, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 3, 7, 1, 5, 7, 5, 3, 5, 7, 7, 1, 1, 5, 7, 7, 7, 1] 
dagJ34.txt 3_2x4.txt True 0.13535911602209943 0.2 664.0 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 1, 0, 5, 3, 5, 5, 5, 5, 5, 1, 5, 5, 5, 0, 5, 3, 6, 3, 1, 6, 2, 5, 3, 0, 3, 0, 4, 1, 5, 3, 6, 4, 0, 0, 0, 1, 2] 
dagJ34.txt 3_2x4.txt True 0.13535911602209943 0.3 664.0 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 1, 0, 5, 3, 5, 5, 5, 5, 5, 1, 5, 5, 5, 0, 5, 3, 6, 3, 1, 6, 2, 5, 3, 0, 3, 0, 4, 1, 5, 3, 6, 4, 0, 0, 0, 1, 2] 
dagJ34.txt 3_2x4.txt True 0.13535911602209943 0.4 664.0 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 5, 5, 5, 1, 0, 5, 3, 5, 5, 5, 5, 5, 1, 5, 5, 5, 0, 5, 3, 6, 3, 1, 6, 2, 5, 3, 0, 3, 0, 4, 1, 5, 3, 6, 4, 0, 0, 0, 1, 2] 
dagJ34.txt 3_2x4.txt True 0.4005524861878453 0.5 253.25 [6, 5, 7, 4, 6, 1, 5, 4, 5, 6, 7, 7, 5, 6, 5, 5, 1, 5, 6, 5, 7, 7, 5, 7, 5, 7, 7, 7, 5, 7, 5, 5, 5, 7, 5, 5, 7, 7, 5, 7, 5, 5, 5, 5, 5, 0, 7, 0, 5, 5, 7, 7, 7, 5, 5, 1, 5, 5, 5, 5, 7, 1, 3, 1, 3, 3, 5, 0, 5, 3, 0, 1, 3, 3, 3, 3, 3, 1, 3, 1, 1, 3, 3, 3, 3, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 1, 3, 1, 2, 3, 3, 3, 1, 3, 2, 3, 1, 1, 3, 2, 3, 1, 1, 3, 3] 
dagJ34.txt 3_2x4.txt True 0.43646408839779005 0.6 239.25 [7, 7, 7, 4, 7, 7, 7, 4, 5, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 5, 5, 7, 1, 7, 7, 5, 7, 7, 1, 7, 7, 2, 7, 7, 7, 6, 7, 6, 1, 7, 6, 1, 1, 7, 2, 3, 1, 2, 6, 1, 6, 6, 7, 7, 2, 3, 7, 7, 1, 7, 6, 2, 5, 3, 5, 3, 7, 3, 7, 5, 3, 3, 1, 5, 5, 5, 5, 1, 3, 2, 1, 3, 5, 3, 5, 3, 0, 5, 1, 5, 3, 1, 3, 1, 5, 3, 3, 3, 0, 2, 0, 3, 1, 3, 3, 1, 5, 3, 5, 3, 3, 4, 0, 1, 3, 3, 5, 4, 1, 1] 
dagJ34.txt 3_2x4.txt True 0.5220994475138122 0.7 186.75 [4, 7, 7, 4, 1, 7, 7, 4, 5, 4, 7, 7, 7, 1, 1, 7, 7, 7, 1, 5, 5, 3, 5, 1, 7, 5, 5, 7, 7, 7, 5, 3, 7, 7, 7, 1, 5, 5, 3, 5, 6, 5, 5, 7, 3, 3, 7, 0, 6, 5, 5, 5, 7, 6, 3, 6, 7, 7, 0, 1, 5, 6, 3, 1, 5, 5, 6, 3, 0, 3, 3, 3, 5, 3, 3, 3, 5, 3, 0, 1, 1, 1, 3, 1, 3, 3, 2, 3, 5, 3, 1, 2, 1, 5, 3, 3, 1, 0, 3, 1, 3, 1, 5, 1, 0, 5, 1, 5, 1, 1, 1, 3, 2, 5, 5, 1, 1, 3, 2, 5] 
dagJ34.txt 3_2x4.txt True 0.7237569060773481 1 181.5 [3, 0, 5, 5, 1, 6, 0, 3, 7, 7, 5, 7, 3, 6, 1, 0, 7, 3, 6, 7, 7, 5, 3, 4, 3, 0, 5, 5, 5, 3, 7, 7, 0, 0, 7, 7, 7, 3, 7, 4, 1, 3, 6, 3, 1, 7, 5, 3, 5, 0, 1, 3, 3, 1, 6, 5, 0, 7, 5, 5, 6, 5, 1, 1, 3, 7, 7, 7, 5, 3, 7, 5, 2, 3, 6, 1, 4, 3, 4, 5, 1, 7, 3, 5, 3, 1, 1, 3, 1, 7, 5, 1, 1, 1, 4, 5, 1, 4, 3, 3, 3, 2, 1, 7, 5, 2, 5, 2, 3, 7, 2, 1, 5, 1, 2, 5, 5, 1, 1, 2] 
