dagE26.txt 3_2x4.txt True 0.06435643564356436 0.07 465.25 [1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 3, 1, 1, 1, 1] 
dagE26.txt 3_2x4.txt True 0.06435643564356436 0.1 465.25 [1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 3, 1, 1, 1, 1] 
dagE26.txt 3_2x4.txt True 0.10396039603960396 0.15 450.5 [1, 7, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 1, 1, 7, 1] 
dagE26.txt 3_2x4.txt True 0.13861386138613863 0.2 429.75 [3, 3, 3, 3, 7, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 7, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 1, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 1, 3, 3, 6, 3] 
dagE26.txt 3_2x4.txt True 0.13861386138613863 0.3 429.75 [3, 3, 3, 3, 7, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 7, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 1, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 1, 3, 3, 6, 3] 
dagE26.txt 3_2x4.txt True 0.13861386138613863 0.4 429.75 [3, 3, 3, 3, 7, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 3, 7, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 3, 3, 3, 1, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 1, 3, 3, 6, 3] 
dagE26.txt 3_2x4.txt True 0.45544554455445546 0.5 157.5 [1, 5, 2, 3, 1, 0, 5, 1, 5, 2, 1, 3, 2, 1, 5, 1, 1, 7, 1, 5, 0, 1, 5, 5, 7, 4, 5, 7, 7, 1, 3, 2, 7, 3, 5, 3, 7, 7, 5, 7, 3, 7, 3, 7, 3, 3, 7, 5, 5, 3, 7, 7, 3, 3, 3, 7, 7, 3, 7, 7, 3, 3, 7, 3, 7, 1, 3, 3, 3, 3] 
dagE26.txt 3_2x4.txt True 0.4405940594059406 0.6 175.0 [1, 5, 1, 1, 1, 0, 5, 1, 5, 5, 1, 1, 1, 1, 5, 1, 1, 1, 6, 5, 0, 1, 5, 5, 6, 1, 1, 5, 1, 3, 3, 1, 7, 7, 1, 7, 1, 3, 5, 7, 7, 3, 3, 3, 3, 7, 3, 1, 6, 7, 3, 7, 3, 3, 7, 3, 3, 3, 7, 7, 7, 3, 3, 3, 3, 7, 3, 3, 3, 4] 
dagE26.txt 3_2x4.txt True 0.49504950495049505 0.7 140.0 [7, 1, 3, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 1, 1, 1, 7, 7, 1, 6, 1, 1, 1, 3, 7, 7, 7, 1, 3, 3, 1, 7, 2, 7, 3, 7, 5, 1, 7, 7, 3, 5, 6, 5, 3, 3, 1, 2, 5, 5, 6, 3, 5, 3, 3, 6, 5, 7, 6, 5, 5, 3, 5, 3, 3, 5, 5, 5, 0] 
dagE26.txt 3_2x4.txt True 0.6782178217821783 1 121.0 [1, 7, 3, 6, 7, 5, 4, 7, 7, 5, 5, 7, 5, 4, 7, 3, 7, 3, 1, 7, 3, 3, 5, 7, 2, 1, 1, 3, 3, 1, 3, 6, 7, 5, 7, 5, 7, 6, 7, 1, 5, 3, 1, 0, 7, 5, 2, 1, 3, 5, 1, 5, 3, 1, 1, 3, 5, 3, 2, 5, 5, 1, 3, 0, 3, 1, 0, 5, 4, 1] 
