dagI45.txt 3_2x4.txt True 0.04697986577181208 0.07 702.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 5, 5, 1, 1, 1, 1, 1, 1, 1, 1] 
dagI45.txt 3_2x4.txt True 0.09060402684563758 0.1 643.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 3, 3, 3, 3, 3, 7, 7, 3, 3, 3, 5, 7, 3, 3, 3, 7, 5, 5, 7, 7] 
dagI45.txt 3_2x4.txt True 0.1040268456375839 0.15 634.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 3, 7, 7, 0, 1, 0, 7, 7, 3, 3, 7, 1, 7, 7, 3, 7, 0, 1, 3, 7, 1, 7, 3] 
dagI45.txt 3_2x4.txt True 0.14093959731543623 0.2 619.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 3, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 3, 7, 1, 7, 0, 7, 2, 2, 7, 1, 1, 0, 2, 7, 7, 1, 2, 7, 3, 0, 2] 
dagI45.txt 3_2x4.txt True 0.14093959731543623 0.3 619.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 3, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 3, 7, 1, 7, 0, 7, 2, 2, 7, 1, 1, 0, 2, 7, 7, 1, 2, 7, 3, 0, 2] 
dagI45.txt 3_2x4.txt True 0.14093959731543623 0.4 619.25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 3, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 3, 7, 1, 7, 0, 7, 2, 2, 7, 1, 1, 0, 2, 7, 7, 1, 2, 7, 3, 0, 2] 
dagI45.txt 3_2x4.txt True 0.46308724832214765 0.5 223.0 [3, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3, 1, 1, 3, 1, 3, 0, 3, 3, 1, 0, 1, 1, 1, 3, 1, 1, 1, 3, 5, 5, 3, 5, 0, 1, 0, 0, 5, 2, 2, 7, 2, 5, 5, 1, 5, 7, 5, 7, 5, 1, 5, 5, 2, 5, 5, 1, 1, 7, 6, 5, 7, 1, 7, 5, 1, 7, 5, 1, 7, 5, 7, 6, 1, 5, 7, 7, 7, 7, 7, 4, 1, 5, 1, 1, 6, 6, 7, 7, 1, 7, 6, 7, 5, 1, 6, 7, 7, 1, 6] 
dagI45.txt 3_2x4.txt True 0.4463087248322148 0.6 191.25 [3, 3, 3, 1, 2, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 5, 3, 3, 3, 2, 2, 3, 1, 3, 3, 5, 1, 3, 1, 7, 1, 3, 3, 0, 5, 3, 2, 7, 1, 7, 7, 0, 1, 7, 2, 7, 7, 7, 7, 7, 3, 1, 1, 0, 1, 7, 5, 3, 5, 1, 1, 7, 5, 7, 7, 3, 5, 7, 1, 7, 1, 7, 1, 1, 7, 5, 5, 5, 5, 5, 7, 1, 7, 1, 7, 4, 5, 5, 4, 1, 5, 4, 5, 7, 1, 5, 5, 4, 4, 5] 
dagI45.txt 3_2x4.txt True 0.4899328859060403 0.7 225.0 [5, 3, 2, 1, 3, 5, 3, 5, 3, 5, 3, 5, 1, 3, 5, 3, 5, 5, 2, 1, 5, 5, 1, 5, 5, 2, 4, 5, 2, 1, 1, 1, 1, 1, 2, 0, 7, 1, 1, 5, 1, 1, 1, 5, 5, 5, 1, 7, 4, 1, 3, 5, 5, 1, 5, 7, 1, 3, 3, 4, 5, 1, 3, 1, 5, 3, 7, 5, 1, 4, 7, 1, 7, 3, 5, 7, 7, 1, 7, 7, 5, 3, 5, 3, 1, 6, 6, 7, 7, 3, 1, 6, 7, 5, 3, 6, 7, 7, 1, 6] 
dagI45.txt 3_2x4.txt True 0.7013422818791947 1 204.0 [5, 7, 7, 7, 4, 4, 4, 5, 5, 5, 7, 1, 7, 7, 7, 4, 5, 7, 5, 7, 5, 6, 5, 5, 7, 3, 7, 5, 5, 6, 3, 5, 6, 3, 5, 7, 5, 3, 3, 3, 1, 4, 7, 7, 3, 6, 7, 0, 1, 6, 5, 3, 7, 5, 7, 0, 5, 2, 0, 5, 5, 7, 5, 7, 3, 2, 3, 3, 1, 3, 7, 5, 3, 1, 1, 2, 1, 0, 1, 3, 2, 1, 1, 3, 0, 1, 1, 1, 3, 3, 1, 1, 3, 1, 2, 1, 1, 3, 3, 1] 
