dagL9.txt 3_2x4.txt True 0.06338028169014084 0.07 1011.0 [3, 1, 1, 1, 1, 3, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 7, 1, 7, 1, 1, 1, 1, 1, 1, 7, 7, 7, 1, 7, 1, 1, 1, 1, 1] 
dagL9.txt 3_2x4.txt True 0.06338028169014084 0.1 1011.0 [3, 1, 1, 1, 1, 3, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 7, 1, 7, 1, 1, 1, 1, 1, 1, 7, 7, 7, 1, 7, 1, 1, 1, 1, 1] 
dagL9.txt 3_2x4.txt True 0.11267605633802817 0.15 901.75 [3, 7, 7, 7, 7, 3, 7, 7, 3, 3, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 1, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 1, 7, 7, 7, 1, 7, 2, 7, 7, 7, 1, 1, 7, 2, 1, 7, 7, 1, 1, 1, 2, 1, 1, 7, 1, 2, 1] 
dagL9.txt 3_2x4.txt True 0.17136150234741784 0.2 878.5 [7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 2, 7, 7, 0, 7, 0, 7, 7, 7, 2, 7, 2, 0, 3, 7, 2, 3, 3, 3, 0, 2, 3, 2, 0, 0, 0] 
dagL9.txt 3_2x4.txt True 0.17136150234741784 0.3 878.5 [7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 2, 7, 7, 0, 7, 0, 7, 7, 7, 2, 7, 2, 0, 3, 7, 2, 3, 3, 3, 0, 2, 3, 2, 0, 0, 0] 
dagL9.txt 3_2x4.txt True 0.17136150234741784 0.4 878.5 [7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 2, 7, 7, 0, 7, 0, 7, 7, 7, 2, 7, 2, 0, 3, 7, 2, 3, 3, 3, 0, 2, 3, 2, 0, 0, 0] 
dagL9.txt 3_2x4.txt True 0.4225352112676056 0.5 302.0 [3, 1, 1, 1, 1, 3, 3, 1, 3, 2, 1, 1, 3, 1, 2, 1, 3, 1, 3, 5, 2, 1, 1, 6, 1, 1, 5, 1, 5, 6, 1, 1, 2, 5, 3, 1, 3, 1, 3, 1, 5, 3, 5, 3, 1, 6, 3, 3, 3, 5, 5, 6, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 1, 3, 5, 1, 5, 5, 3, 7, 5, 5, 3, 7, 3, 5, 3, 5, 3, 5, 3, 5, 3, 1, 7, 5, 3, 5, 7, 5, 5, 7, 1, 5, 7, 7, 7, 1, 1, 7, 5, 5, 5, 7, 7, 5, 7, 1, 7, 5, 5, 5, 1, 7, 5, 7, 1, 7, 7, 7, 7, 5, 5, 1, 5, 7, 5, 7, 7, 5, 1, 7, 5, 5, 5, 6, 4] 
dagL9.txt 3_2x4.txt True 0.5117370892018779 0.6 304.0 [3, 4, 5, 5, 5, 4, 3, 5, 4, 3, 4, 5, 3, 4, 5, 5, 3, 5, 3, 7, 5, 1, 1, 7, 5, 7, 7, 5, 7, 1, 1, 5, 5, 7, 3, 1, 1, 5, 6, 1, 7, 7, 7, 7, 5, 6, 3, 6, 7, 7, 3, 5, 5, 3, 7, 3, 7, 7, 3, 7, 7, 1, 3, 6, 3, 6, 7, 1, 5, 5, 3, 3, 1, 5, 5, 3, 1, 3, 6, 1, 5, 1, 5, 1, 5, 1, 5, 7, 5, 1, 5, 1, 5, 5, 7, 0, 1, 7, 1, 7, 0, 1, 3, 1, 0, 1, 7, 1, 5, 7, 0, 3, 3, 3, 1, 3, 2, 1, 7, 0, 7, 2, 3, 3, 3, 3, 0, 2, 3, 3, 3, 3, 3, 0, 3, 3, 3, 1, 0, 1] 
dagL9.txt 3_2x4.txt True 0.4859154929577465 0.7 240.0 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 0, 3, 3, 3, 3, 2, 0, 1, 3, 1, 3, 0, 2, 2, 1, 2, 1, 3, 0, 1, 5, 1, 1, 3, 0, 3, 5, 1, 1, 1, 3, 0, 5, 1, 3, 4, 5, 3, 3, 5, 5, 5, 1, 1, 5, 1, 1, 1, 5, 4, 5, 3, 1, 1, 3, 5, 3, 5, 4, 5, 5, 1, 1, 5, 5, 4, 5, 1, 5, 2, 5, 1, 5, 5, 1, 1, 5, 1, 1, 5, 4, 7, 2, 5, 1, 5, 7, 7, 5, 5, 5, 6, 4, 7, 1, 7, 7, 7, 7, 7, 7, 7, 4, 1, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 7, 7, 7, 1, 7, 6] 
dagL9.txt 3_2x4.txt True 0.687793427230047 1 239.75 [0, 1, 1, 5, 1, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 3, 0, 1, 1, 1, 1, 7, 1, 1, 1, 3, 4, 5, 5, 3, 2, 5, 1, 5, 1, 4, 1, 5, 5, 7, 2, 1, 3, 5, 5, 5, 3, 2, 7, 5, 5, 5, 2, 3, 5, 4, 7, 5, 1, 1, 5, 3, 4, 3, 3, 1, 7, 7, 2, 5, 4, 3, 3, 7, 1, 3, 3, 7, 3, 5, 5, 2, 1, 5, 7, 3, 1, 3, 3, 5, 7, 7, 3, 5, 3, 3, 5, 7, 7, 1, 6, 7, 5, 7, 1, 3, 3, 3, 1, 7, 6, 3, 6, 7, 5, 5, 3, 7, 7, 3, 7, 3, 3, 6, 7, 7, 7, 7, 3, 7, 5, 6, 6, 7, 6, 4, 4, 7, 5, 7] 
