dagE34.txt 3_2x4.txt True 0.0 0.07 547.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagE34.txt 3_2x4.txt True 0.0 0.1 547.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagE34.txt 3_2x4.txt True 0.0 0.15 547.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagE34.txt 3_2x4.txt True 0.19138755980861244 0.2 489.5 [7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7] 
dagE34.txt 3_2x4.txt True 0.20095693779904306 0.3 814.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 6, 7, 6, 7, 6, 7, 7, 6, 7, 7, 6, 6, 6, 6, 7, 6, 6, 7, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7] 
dagE34.txt 3_2x4.txt True 0.37799043062200954 0.4 218.75 [5, 2, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 7, 5, 7, 5, 6, 5, 5, 2, 5, 2, 5, 7, 7, 7, 5, 7, 5, 5, 5, 7, 5, 6, 4, 7, 7, 7, 3, 7, 5, 3, 5, 7, 6, 7, 7, 4, 7, 7, 7, 7, 7, 3, 3, 7, 5, 4, 7, 6, 7, 7, 7, 7, 3, 4, 4, 7, 5] 
dagE34.txt 3_2x4.txt True 0.48325358851674644 0.5 514.0 [1, 0, 2, 1, 0, 0, 0, 2, 1, 1, 0, 0, 0, 0, 2, 2, 1, 2, 0, 0, 0, 1, 0, 1, 2, 2, 4, 0, 2, 2, 0, 0, 2, 7, 4, 4, 6, 6, 4, 3, 6, 0, 5, 0, 1, 4, 6, 6, 4, 6, 4, 4, 6, 7, 5, 3, 7, 6, 6, 6, 4, 7, 4, 6, 7, 3, 6, 4, 5, 6] 
dagE34.txt 3_2x4.txt True 0.5311004784688995 0.6 330.0 [7, 5, 6, 7, 4, 5, 5, 6, 7, 7, 4, 5, 4, 5, 6, 6, 7, 5, 4, 4, 5, 7, 0, 7, 6, 6, 2, 4, 6, 6, 5, 4, 6, 1, 2, 2, 2, 0, 2, 1, 0, 4, 3, 4, 7, 3, 0, 0, 2, 2, 3, 3, 2, 1, 3, 1, 1, 1, 0, 0, 2, 0, 3, 7, 1, 3, 0, 3, 3, 1] 
dagE34.txt 3_2x4.txt True 0.5311004784688995 0.7 330.0 [7, 5, 6, 7, 4, 5, 5, 6, 7, 7, 4, 5, 4, 5, 6, 6, 7, 5, 4, 4, 5, 7, 0, 7, 6, 6, 2, 4, 6, 6, 5, 4, 6, 1, 2, 2, 2, 0, 2, 1, 0, 4, 3, 4, 7, 3, 0, 0, 2, 2, 3, 3, 2, 1, 3, 1, 1, 1, 0, 0, 2, 0, 3, 7, 1, 3, 0, 3, 3, 1] 
dagE34.txt 3_2x4.txt True 0.7703349282296651 1 286.0 [2, 0, 4, 4, 7, 4, 2, 3, 2, 4, 5, 4, 1, 4, 7, 3, 2, 4, 2, 6, 0, 4, 3, 2, 3, 7, 5, 6, 1, 6, 1, 2, 1, 7, 6, 1, 6, 7, 6, 0, 6, 7, 2, 5, 0, 2, 7, 1, 5, 3, 5, 3, 0, 7, 3, 0, 7, 5, 1, 6, 3, 6, 3, 1, 0, 0, 1, 5, 5, 5] 
