dagM28.txt 1234x1.txt True 0.6840958605664488 0.9 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 1 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.3812636165577342 0.5 1185.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.3812636165577342 0.6 1185.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 0.7 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 0.8 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 0.9 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 1 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.3812636165577342 0.5 1185.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.3812636165577342 0.6 1185.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 0.7 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 0.8 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 0.9 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 1 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.3812636165577342 0.5 1185.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.3812636165577342 0.6 1185.0 [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 0.7 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
dagM28.txt 1234x1.txt True 0.6840958605664488 0.8 1180.0 [0, 2, 3, 3, 3, 3, 0, 0, 0, 2, 3, 3, 3, 2, 2, 2, 3, 2, 3, 2, 3, 3, 3, 2, 3, 2, 2, 0, 3, 2, 0, 3, 2, 0, 2, 3, 0, 3, 0, 2, 3, 0, 2, 0, 2, 3, 0, 1, 0, 3, 1, 3, 2, 2, 0, 3, 1, 3, 0, 2, 0, 0, 1, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 3, 0, 1, 1, 2, 1, 0, 2, 2, 2, 2, 3, 1, 1, 0, 3, 1, 3, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 1, 2, 3, 0, 3, 3, 2, 0, 3, 1, 2, 1, 0, 1, 0, 0, 2, 0, 0, 2, 1, 0, 1, 1, 3, 0, 0, 1, 1, 1, 1, 1, 1, 2, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
