dagR56.txt 3_2x4.txt True 0.15973377703826955 0.17 601.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 3, 0, 3, 3, 3, 1, 0, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 0, 3, 3, 5, 3, 1, 3, 3, 3, 0, 0, 0, 1, 3, 1, 3, 3, 4, 4, 4, 1, 3, 1, 5, 5, 5, 5, 4, 5, 3, 7, 4, 7, 4, 1, 5, 4, 7, 7, 4, 7, 7, 5, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagR56.txt 3_2x4.txt True 0.15973377703826955 0.18 601.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 3, 0, 3, 3, 3, 1, 0, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 0, 3, 3, 5, 3, 1, 3, 3, 3, 0, 0, 0, 1, 3, 1, 3, 3, 4, 4, 4, 1, 3, 1, 5, 5, 5, 5, 4, 5, 3, 7, 4, 7, 4, 1, 5, 4, 7, 7, 4, 7, 7, 5, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagR56.txt 3_2x4.txt True 0.15973377703826955 0.19 601.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 3, 0, 3, 3, 3, 1, 0, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 0, 3, 3, 5, 3, 1, 3, 3, 3, 0, 0, 0, 1, 3, 1, 3, 3, 4, 4, 4, 1, 3, 1, 5, 5, 5, 5, 4, 5, 3, 7, 4, 7, 4, 1, 5, 4, 7, 7, 4, 7, 7, 5, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagR56.txt 3_2x4.txt True 0.15973377703826955 0.2 601.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 3, 3, 3, 0, 3, 3, 0, 3, 3, 3, 1, 0, 3, 3, 3, 3, 1, 3, 3, 3, 3, 0, 0, 3, 3, 5, 3, 1, 3, 3, 3, 0, 0, 0, 1, 3, 1, 3, 3, 4, 4, 4, 1, 3, 1, 5, 5, 5, 5, 4, 5, 3, 7, 4, 7, 4, 1, 5, 4, 7, 7, 4, 7, 7, 5, 7, 7, 4, 7, 7, 7, 7, 5, 4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagR56.txt 3_2x4.txt True 0.16638935108153077 0.25 641.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 5, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 0, 3, 3, 3, 4, 0, 0, 3, 3, 5, 3, 3, 3, 3, 3, 0, 0, 4, 3, 4, 3, 3, 3, 7, 5, 7, 3, 3, 0, 4, 7, 5, 7, 7, 7, 3, 5, 7, 5, 7, 3, 4, 5, 5, 5, 7, 7, 7, 4, 7, 5, 5, 5, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 4, 7, 7, 7, 7, 4, 7, 7, 4, 4, 7] 
dagR56.txt 3_2x4.txt True 0.16638935108153077 0.3 641.75 [3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 5, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 0, 3, 3, 3, 4, 0, 0, 3, 3, 5, 3, 3, 3, 3, 3, 0, 0, 4, 3, 4, 3, 3, 3, 7, 5, 7, 3, 3, 0, 4, 7, 5, 7, 7, 7, 3, 5, 7, 5, 7, 3, 4, 5, 5, 5, 7, 7, 7, 4, 7, 5, 5, 5, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 4, 7, 7, 7, 7, 4, 7, 7, 4, 4, 7] 
dagR56.txt 3_2x4.txt True 0.3427620632279534 0.35 361.75 [5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 7, 5, 5, 4, 5, 5, 5, 7, 5, 5, 5, 7, 4, 4, 5, 7, 7, 4, 7, 5, 7, 7, 3, 5, 5, 4, 7, 7, 4, 3, 5, 5, 7, 5, 4, 7, 5, 7, 5, 5, 6, 5, 7, 7, 7, 5, 5, 7, 5, 5, 4, 7, 5, 5, 7, 7, 5, 6, 7, 5, 7, 5, 7, 5, 5, 5, 5, 6, 7, 7, 7, 7, 7, 7, 5, 7, 5, 5, 5, 5, 5, 7, 7, 1, 1, 1, 1, 7, 7, 5, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 0, 1, 3, 1, 1, 1, 3, 3, 1, 0, 0, 1, 1, 3, 1, 1, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 0, 3, 3, 0, 1, 3, 3, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 2, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3] 
dagR56.txt 3_2x4.txt True 0.3427620632279534 0.4 361.75 [5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 7, 5, 5, 4, 5, 5, 5, 7, 5, 5, 5, 7, 4, 4, 5, 7, 7, 4, 7, 5, 7, 7, 3, 5, 5, 4, 7, 7, 4, 3, 5, 5, 7, 5, 4, 7, 5, 7, 5, 5, 6, 5, 7, 7, 7, 5, 5, 7, 5, 5, 4, 7, 5, 5, 7, 7, 5, 6, 7, 5, 7, 5, 7, 5, 5, 5, 5, 6, 7, 7, 7, 7, 7, 7, 5, 7, 5, 5, 5, 5, 5, 7, 7, 1, 1, 1, 1, 7, 7, 5, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 0, 1, 3, 1, 1, 1, 3, 3, 1, 0, 0, 1, 1, 3, 1, 1, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 0, 3, 3, 0, 1, 3, 3, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 2, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3] 
dagR56.txt 3_2x4.txt True 0.4292845257903494 0.45 322.25 [1, 1, 1, 1, 7, 7, 7, 7, 7, 7, 6, 7, 1, 7, 1, 1, 1, 1, 7, 1, 7, 1, 7, 7, 7, 1, 6, 7, 7, 7, 1, 7, 7, 7, 5, 1, 7, 1, 6, 1, 7, 6, 1, 7, 6, 7, 1, 1, 7, 6, 5, 7, 1, 6, 1, 7, 5, 5, 1, 1, 5, 5, 1, 6, 5, 5, 1, 5, 5, 5, 6, 4, 1, 5, 5, 5, 1, 5, 1, 4, 5, 5, 5, 5, 4, 1, 5, 4, 5, 5, 5, 1, 1, 4, 5, 4, 4, 1, 3, 1, 5, 4, 5, 3, 3, 5, 3, 7, 3, 4, 1, 1, 3, 7, 5, 3, 3, 1, 3, 1, 3, 0, 1, 7, 3, 3, 0, 7, 7, 0, 0, 7, 7, 1, 0, 7, 2, 7, 3, 1, 0, 7, 7, 7, 3, 0, 3, 2, 1, 7, 3, 7, 3, 1, 7, 2, 3, 5, 3, 3, 3, 7, 5, 3, 3, 5, 3, 3, 3, 3, 5, 3, 5, 5, 2, 3, 3, 3, 3, 5, 3, 5, 3, 3, 5, 3, 5, 3, 3, 3, 3, 3, 5, 5, 3, 3, 5, 3, 3, 3] 
dagR56.txt 3_2x4.txt True 0.480865224625624 0.5 313.75 [5, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 5, 7, 1, 1, 5, 1, 1, 5, 7, 1, 1, 2, 1, 1, 0, 1, 7, 1, 1, 7, 1, 7, 3, 3, 1, 0, 0, 3, 7, 0, 3, 2, 0, 7, 3, 1, 1, 0, 3, 2, 3, 3, 3, 7, 3, 3, 3, 3, 3, 3, 3, 0, 3, 1, 3, 3, 5, 1, 3, 3, 3, 1, 3, 1, 3, 1, 3, 1, 3, 3, 1, 5, 3, 2, 1, 3, 1, 2, 1, 3, 2, 7, 1, 3, 7, 7, 7, 7, 1, 7, 3, 7, 7, 5, 7, 3, 7, 7, 7, 7, 7, 6, 2, 7, 7, 7, 7, 7, 7, 5, 7, 6, 1, 7, 6, 3, 3, 6, 5, 7, 5, 7, 3, 5, 1, 3, 6, 5, 1, 3, 5, 6, 4, 1, 4, 1, 3, 6, 4, 3, 4, 5, 5, 5, 5, 4, 5, 4, 5, 6, 7, 3, 7, 3, 4, 5, 5, 5, 7, 5, 5, 7, 5, 4, 5, 5, 5, 7, 5, 5, 5, 5, 3, 5, 7, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5] 
dagR56.txt 3_2x4.txt True 0.5374376039933444 0.55 299.5 [2, 7, 1, 1, 1, 2, 3, 2, 1, 3, 3, 2, 3, 3, 3, 1, 1, 3, 2, 2, 5, 7, 2, 3, 3, 3, 3, 1, 5, 3, 3, 3, 1, 3, 5, 3, 2, 2, 7, 1, 3, 3, 3, 3, 3, 3, 1, 3, 3, 2, 5, 3, 5, 0, 7, 3, 5, 1, 1, 1, 0, 0, 5, 3, 1, 1, 7, 1, 1, 1, 1, 3, 1, 5, 1, 1, 7, 1, 7, 1, 1, 0, 5, 1, 3, 3, 5, 1, 1, 1, 1, 0, 1, 5, 5, 0, 7, 5, 5, 7, 1, 3, 1, 5, 5, 1, 5, 5, 7, 5, 4, 5, 5, 7, 0, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 7, 5, 7, 7, 4, 5, 5, 5, 7, 3, 4, 5, 5, 7, 4, 7, 7, 3, 7, 4, 7, 7, 4, 3, 7, 7, 7, 6, 5, 7, 7, 5, 7, 7, 7, 3, 5, 6, 7, 6, 7, 3, 7, 7, 5, 7, 1, 7, 6, 7, 7, 7, 7, 5, 7, 1, 3, 1, 6, 1, 7, 3, 1, 7, 7, 1, 6, 6, 7, 1, 6, 3, 6, 7] 
