dagQ19.txt 3_2x4.txt True 0.1583629893238434 0.17 1133.75 [1, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 7, 1, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 0, 7, 0, 7, 7, 0, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 3, 7, 7, 7, 2, 3, 7, 2, 3, 7, 7, 3, 3, 7, 3, 2, 3, 3, 3, 7, 7, 7, 2, 7, 3, 3, 3, 7, 2, 2, 3, 2, 2, 3, 3, 3, 7] 
dagQ19.txt 3_2x4.txt True 0.17437722419928825 0.18 1108.5 [3, 7, 7, 2, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 0, 0, 0, 0, 7, 1, 7, 0, 1, 1, 1, 0, 1, 0, 7, 1, 1, 0, 7, 0, 7, 0, 0, 1, 0, 1] 
dagQ19.txt 3_2x4.txt True 0.17437722419928825 0.19 1108.5 [3, 7, 7, 2, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 0, 0, 0, 0, 7, 1, 7, 0, 1, 1, 1, 0, 1, 0, 7, 1, 1, 0, 7, 0, 7, 0, 0, 1, 0, 1] 
dagQ19.txt 3_2x4.txt True 0.17437722419928825 0.2 1108.5 [3, 7, 7, 2, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 0, 0, 0, 0, 7, 1, 7, 0, 1, 1, 1, 0, 1, 0, 7, 1, 1, 0, 7, 0, 7, 0, 0, 1, 0, 1] 
dagQ19.txt 3_2x4.txt True 0.17437722419928825 0.25 1108.5 [3, 7, 7, 2, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 0, 0, 0, 0, 7, 1, 7, 0, 1, 1, 1, 0, 1, 0, 7, 1, 1, 0, 7, 0, 7, 0, 0, 1, 0, 1] 
dagQ19.txt 3_2x4.txt True 0.17437722419928825 0.3 1108.5 [3, 7, 7, 2, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 0, 0, 0, 0, 7, 1, 7, 0, 1, 1, 1, 0, 1, 0, 7, 1, 1, 0, 7, 0, 7, 0, 0, 1, 0, 1] 
dagQ19.txt 3_2x4.txt True 0.17437722419928825 0.35 1108.5 [3, 7, 7, 2, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 0, 0, 0, 0, 7, 1, 7, 0, 1, 1, 1, 0, 1, 0, 7, 1, 1, 0, 7, 0, 7, 0, 0, 1, 0, 1] 
dagQ19.txt 3_2x4.txt True 0.17437722419928825 0.4 1108.5 [3, 7, 7, 2, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 2, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 7, 1, 7, 0, 1, 7, 7, 7, 7, 7, 1, 1, 1, 7, 7, 0, 0, 0, 0, 7, 1, 7, 0, 1, 1, 1, 0, 1, 0, 7, 1, 1, 0, 7, 0, 7, 0, 0, 1, 0, 1] 
dagQ19.txt 3_2x4.txt True 0.37722419928825623 0.45 348.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 5, 5, 7, 5, 7, 7, 5, 6, 4, 5, 4, 7, 5, 5, 5, 6, 5, 5, 5, 7, 7, 5, 5, 1, 1, 6, 1, 5, 1, 1, 5, 5, 5, 4, 4, 5, 1, 1, 5, 5, 4, 5, 1, 5, 1, 1, 4, 1, 0, 5, 0, 5, 1, 1, 5, 1, 4, 4, 4, 1, 5, 3, 0, 1, 1, 1, 1, 0, 1, 0, 3, 3, 1, 1, 0, 3, 3, 1, 1, 3, 1, 1, 3, 3, 3, 3, 1, 0, 3, 3, 1, 3, 1, 5, 1, 0, 3, 1, 1, 3, 3, 5, 1, 1, 3, 3, 3, 5, 5, 1, 5, 5, 3, 5, 1, 5, 5, 1, 3, 5, 3, 5, 2, 3, 3, 5, 3, 5, 3, 5, 3, 3, 1, 1, 2, 5, 3, 1, 3, 5, 3, 5, 3, 5, 2, 3, 3, 3, 5] 
dagQ19.txt 3_2x4.txt True 0.48576512455516013 0.5 322.25 [6, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 7, 6, 7, 7, 7, 7, 7, 5, 7, 3, 7, 7, 7, 7, 6, 7, 7, 7, 5, 3, 6, 5, 7, 5, 5, 7, 5, 7, 6, 5, 7, 4, 5, 4, 7, 5, 4, 5, 4, 5, 5, 5, 6, 6, 5, 5, 1, 1, 4, 1, 5, 1, 1, 5, 5, 5, 5, 1, 5, 3, 1, 5, 5, 1, 5, 1, 5, 3, 1, 4, 1, 2, 5, 3, 5, 1, 4, 5, 2, 3, 1, 1, 3, 5, 1, 2, 3, 3, 2, 1, 3, 3, 2, 1, 3, 1, 3, 3, 3, 5, 5, 3, 3, 2, 3, 5, 2, 5, 3, 3, 2, 1, 1, 5, 1, 3, 3, 3, 1, 3, 5, 3, 1, 3, 1, 5, 5, 3, 5, 3, 1, 1, 0, 5, 5, 7, 3, 3, 3, 1, 3, 3, 5, 0, 1, 5, 7, 1, 0, 1, 3, 3, 0, 1, 1, 0, 0, 5, 7, 7, 3, 1, 1, 0, 3, 1, 0, 1, 7, 0, 1, 1] 
dagQ19.txt 3_2x4.txt True 0.5462633451957295 0.55 314.5 [5, 4, 5, 5, 3, 4, 4, 5, 7, 4, 7, 5, 4, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 6, 4, 5, 3, 5, 5, 7, 7, 7, 5, 4, 5, 5, 5, 5, 5, 5, 6, 3, 5, 5, 7, 3, 5, 7, 6, 5, 7, 6, 3, 7, 1, 7, 6, 7, 3, 7, 5, 5, 7, 7, 5, 1, 1, 6, 3, 3, 1, 7, 7, 7, 6, 1, 7, 6, 6, 7, 7, 7, 7, 1, 7, 7, 3, 7, 3, 0, 7, 0, 7, 6, 1, 7, 3, 7, 7, 7, 7, 7, 3, 0, 5, 5, 1, 0, 0, 5, 0, 1, 3, 7, 5, 0, 0, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 7, 3, 1, 0, 2, 1, 3, 1, 1, 3, 7, 3, 1, 1, 2, 5, 3, 3, 3, 1, 7, 5, 7, 3, 3, 1, 3, 7, 2, 3, 5, 7, 3, 1, 3, 3, 2, 3, 1, 5, 3, 3, 1, 2, 2, 1, 3, 7, 2, 3, 3, 3, 1, 2, 2, 3, 7] 
dagQ19.txt 3_2x4.txt True 0.599644128113879 0.6 304.25 [1, 1, 5, 7, 1, 1, 5, 1, 5, 5, 7, 0, 1, 5, 1, 0, 0, 3, 7, 7, 7, 3, 1, 2, 1, 0, 7, 3, 5, 1, 3, 5, 7, 1, 0, 3, 0, 3, 1, 0, 3, 2, 0, 1, 2, 1, 3, 2, 2, 0, 2, 3, 1, 5, 5, 1, 3, 5, 2, 1, 0, 3, 1, 5, 3, 3, 5, 3, 3, 3, 3, 2, 3, 5, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 5, 5, 5, 5, 3, 7, 2, 7, 3, 3, 3, 5, 2, 1, 1, 1, 3, 7, 1, 5, 1, 5, 1, 5, 1, 3, 4, 5, 5, 5, 1, 5, 4, 4, 5, 1, 5, 5, 5, 5, 1, 1, 3, 5, 4, 1, 5, 1, 7, 4, 7, 4, 5, 6, 5, 4, 7, 5, 7, 1, 7, 7, 4, 7, 3, 6, 5, 6, 6, 7, 6, 7, 1, 7, 6, 6, 7, 7, 7, 1, 3, 7, 7, 7, 7, 7, 7, 6, 1, 7, 7, 7, 7, 1, 7, 7, 7, 1, 1, 7, 7] 
dagQ19.txt 3_2x4.txt True 0.599644128113879 0.65 304.25 [1, 1, 5, 7, 1, 1, 5, 1, 5, 5, 7, 0, 1, 5, 1, 0, 0, 3, 7, 7, 7, 3, 1, 2, 1, 0, 7, 3, 5, 1, 3, 5, 7, 1, 0, 3, 0, 3, 1, 0, 3, 2, 0, 1, 2, 1, 3, 2, 2, 0, 2, 3, 1, 5, 5, 1, 3, 5, 2, 1, 0, 3, 1, 5, 3, 3, 5, 3, 3, 3, 3, 2, 3, 5, 3, 3, 1, 3, 3, 3, 3, 3, 1, 3, 3, 1, 3, 3, 3, 5, 5, 5, 5, 3, 7, 2, 7, 3, 3, 3, 5, 2, 1, 1, 1, 3, 7, 1, 5, 1, 5, 1, 5, 1, 3, 4, 5, 5, 5, 1, 5, 4, 4, 5, 1, 5, 5, 5, 5, 1, 1, 3, 5, 4, 1, 5, 1, 7, 4, 7, 4, 5, 6, 5, 4, 7, 5, 7, 1, 7, 7, 4, 7, 3, 6, 5, 6, 6, 7, 6, 7, 1, 7, 6, 6, 7, 7, 7, 1, 3, 7, 7, 7, 7, 7, 7, 6, 1, 7, 7, 7, 7, 1, 7, 7, 7, 1, 1, 7, 7] 
