dagP16.txt 3_2x4.txt True 0.04595588235294118 0.07 1189.0 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 5, 1, 5, 1, 1, 1, 1, 1, 5, 5, 1, 5, 1, 5, 5, 1, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 1, 5, 1, 5, 5, 5, 5, 5] 
dagP16.txt 3_2x4.txt True 0.07169117647058823 0.1 1166.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 7, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 7, 1, 1, 7, 1, 1, 1, 7, 1, 7, 1, 7, 7, 1, 7, 1, 7, 7, 7, 1, 1, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7] 
dagP16.txt 3_2x4.txt True 0.09558823529411764 0.15 1187.25 [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 5, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 3, 1, 3, 3, 1, 1, 3, 3, 1, 1, 3, 3, 3, 3, 1, 3, 3, 3, 1, 3] 
dagP16.txt 3_2x4.txt True 0.15808823529411764 0.2 1049.5 [3, 2, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 1, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 5, 3, 3, 4, 3, 3, 4, 4, 4, 4, 4, 5, 4, 5, 5, 4, 4, 5, 4, 1, 4, 4, 5, 5, 5, 3, 5, 5, 4, 4, 5] 
dagP16.txt 3_2x4.txt True 0.2261029411764706 0.3 960.75 [5, 5, 5, 1, 5, 5, 5, 7, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 7, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 3, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 1, 5, 3, 2, 3, 2, 5, 0, 5, 7, 7, 5, 1, 1, 7, 3, 4, 5, 7, 7, 2, 7, 0, 7, 0, 7, 3, 7, 4, 7, 4, 2, 7, 1, 7, 2, 7, 7, 2, 4, 0] 
dagP16.txt 3_2x4.txt True 0.2261029411764706 0.4 960.75 [5, 5, 5, 1, 5, 5, 5, 7, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 7, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 3, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 1, 5, 3, 2, 3, 2, 5, 0, 5, 7, 7, 5, 1, 1, 7, 3, 4, 5, 7, 7, 2, 7, 0, 7, 0, 7, 3, 7, 4, 7, 4, 2, 7, 1, 7, 2, 7, 7, 2, 4, 0] 
dagP16.txt 3_2x4.txt True 0.2261029411764706 0.5 960.75 [5, 5, 5, 1, 5, 5, 5, 7, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 7, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 2, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 3, 5, 2, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 1, 5, 3, 2, 3, 2, 5, 0, 5, 7, 7, 5, 1, 1, 7, 3, 4, 5, 7, 7, 2, 7, 0, 7, 0, 7, 3, 7, 4, 7, 4, 2, 7, 1, 7, 2, 7, 7, 2, 4, 0] 
dagP16.txt 3_2x4.txt True 0.46875 0.6 333.0 [3, 3, 3, 3, 0, 5, 3, 3, 5, 3, 3, 3, 3, 5, 5, 3, 3, 1, 3, 5, 5, 5, 3, 3, 3, 0, 3, 0, 3, 1, 3, 5, 3, 7, 3, 1, 3, 1, 1, 7, 5, 1, 2, 0, 5, 3, 3, 1, 5, 7, 7, 1, 3, 7, 7, 1, 3, 5, 5, 7, 5, 5, 3, 2, 7, 7, 5, 7, 5, 2, 2, 3, 7, 3, 3, 5, 5, 7, 3, 5, 7, 3, 7, 7, 7, 3, 5, 4, 7, 3, 3, 3, 3, 3, 3, 3, 7, 3, 7, 7, 7, 3, 5, 3, 7, 7, 2, 3, 4, 7, 6, 2, 7, 3, 7, 7, 7, 7, 7, 7, 4, 7, 5, 4, 6, 1, 1, 4, 7, 5, 7, 4, 1, 7, 7, 7, 7, 5, 1, 1, 1, 1, 1, 1, 4, 1, 6, 1, 1, 1, 1, 1, 5, 5, 6, 6, 1, 5, 5, 1, 5, 4, 5, 6, 5, 5, 1, 4, 5, 6, 1, 5, 1, 5, 1, 5, 5, 1, 6, 5] 
dagP16.txt 3_2x4.txt True 0.4944852941176471 0.7 307.25 [3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 5, 3, 3, 2, 5, 3, 3, 3, 5, 2, 3, 3, 1, 3, 3, 2, 5, 2, 5, 3, 1, 2, 5, 5, 3, 3, 2, 3, 5, 2, 3, 1, 1, 3, 1, 1, 1, 7, 3, 1, 2, 1, 1, 7, 7, 7, 7, 1, 3, 1, 1, 7, 7, 7, 7, 1, 3, 1, 3, 1, 7, 0, 3, 7, 0, 1, 0, 1, 1, 1, 1, 1, 7, 7, 0, 0, 0, 0, 7, 1, 1, 7, 7, 1, 1, 1, 1, 6, 7, 6, 1, 6, 7, 7, 7, 0, 0, 7, 7, 7, 0, 6, 6, 3, 7, 3, 7, 7, 6, 7, 7, 6, 5, 7, 7, 3, 6, 7, 7, 7, 3, 3, 7, 7, 5, 5, 5, 6, 5, 7, 5, 4, 5, 4, 7, 5, 5, 5, 5, 1, 1, 5, 4, 5, 1, 1, 5, 1, 4, 1, 4, 1, 4, 5, 5, 1, 1, 5, 1, 5, 1, 5, 1, 1, 5, 1, 4] 
dagP16.txt 3_2x4.txt True 0.6966911764705882 1 283.25 [3, 1, 1, 3, 7, 0, 7, 1, 1, 7, 3, 5, 0, 5, 3, 1, 7, 7, 1, 3, 7, 3, 3, 1, 3, 7, 5, 0, 3, 0, 5, 5, 7, 7, 2, 0, 5, 3, 7, 2, 3, 0, 1, 3, 3, 7, 3, 7, 7, 5, 7, 7, 7, 5, 2, 1, 1, 6, 4, 7, 3, 3, 7, 7, 2, 5, 7, 7, 1, 1, 0, 3, 0, 7, 1, 1, 4, 1, 3, 1, 5, 1, 2, 2, 1, 7, 4, 1, 3, 2, 2, 3, 5, 5, 3, 1, 3, 6, 1, 5, 5, 1, 0, 1, 5, 5, 1, 3, 4, 0, 3, 3, 3, 3, 7, 4, 3, 6, 1, 7, 7, 7, 7, 2, 3, 3, 5, 1, 4, 7, 4, 2, 5, 1, 7, 4, 2, 1, 5, 1, 1, 7, 4, 5, 6, 5, 5, 2, 5, 5, 1, 5, 1, 5, 5, 5, 5, 5, 5, 7, 4, 1, 3, 5, 1, 1, 5, 3, 6, 7, 6, 6, 5, 5, 5, 5, 5, 5, 7, 3] 
