dagA19.txt 3_2x4.txt True 0.0 0.07 356.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagA19.txt 3_2x4.txt True 0.0 0.1 356.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagA19.txt 3_2x4.txt True 0.0 0.15 356.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagA19.txt 3_2x4.txt True 0.1987179487179487 0.2 310.75 [7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 4, 7, 6, 7, 7, 7, 7, 4, 7, 7] 
dagA19.txt 3_2x4.txt True 0.27564102564102566 0.3 226.0 [7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 3, 7, 6, 7, 3, 7, 7, 7, 7, 3, 6, 7, 3, 3, 4, 7, 7, 6, 3, 7, 7, 6, 7, 4, 7, 6, 6, 6, 3, 7, 7, 7, 7, 3, 7] 
dagA19.txt 3_2x4.txt True 0.391025641025641 0.4 239.0 [3, 3, 7, 7, 7, 5, 7, 3, 7, 5, 3, 3, 7, 7, 7, 6, 5, 3, 3, 7, 7, 6, 7, 5, 6, 3, 3, 7, 7, 6, 7, 3, 3, 7, 3, 7, 3, 6, 6, 6, 3, 3, 3, 3, 7, 5, 3, 7, 6, 3] 
dagA19.txt 3_2x4.txt True 0.391025641025641 0.5 239.0 [3, 3, 7, 7, 7, 5, 7, 3, 7, 5, 3, 3, 7, 7, 7, 6, 5, 3, 3, 7, 7, 6, 7, 5, 6, 3, 3, 7, 7, 6, 7, 3, 3, 7, 3, 7, 3, 6, 6, 6, 3, 3, 3, 3, 7, 5, 3, 7, 6, 3] 
dagA19.txt 3_2x4.txt True 0.5897435897435898 0.6 188.0 [0, 4, 3, 2, 2, 5, 4, 0, 3, 5, 1, 7, 2, 3, 0, 7, 5, 0, 6, 4, 2, 4, 3, 5, 1, 0, 0, 2, 3, 6, 2, 1, 7, 1, 6, 4, 0, 4, 6, 1, 0, 7, 7, 7, 1, 5, 7, 3, 1, 5] 
dagA19.txt 3_2x4.txt True 0.6153846153846154 0.7 177.0 [2, 5, 1, 3, 0, 4, 5, 3, 1, 4, 2, 5, 3, 1, 2, 7, 6, 2, 6, 7, 3, 5, 1, 4, 0, 3, 2, 1, 0, 7, 0, 2, 5, 0, 6, 4, 3, 4, 6, 2, 3, 5, 7, 7, 0, 4, 5, 1, 0, 6] 
dagA19.txt 3_2x4.txt True 0.6153846153846154 1 177.0 [2, 5, 1, 3, 0, 4, 5, 3, 1, 4, 2, 5, 3, 1, 2, 7, 6, 2, 6, 7, 3, 5, 1, 4, 0, 3, 2, 1, 0, 7, 0, 2, 5, 0, 6, 4, 3, 4, 6, 2, 3, 5, 7, 7, 0, 4, 5, 1, 0, 6] 
