dagC2.txt 3_2x4.txt True 0.0 0.07 484.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagC2.txt 3_2x4.txt True 0.0 0.1 484.5 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7] 
dagC2.txt 3_2x4.txt True 0.13297872340425532 0.15 435.5 [7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 4, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7] 
dagC2.txt 3_2x4.txt True 0.19680851063829788 0.2 573.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 3, 7, 3, 7, 4, 7, 7, 7, 7, 7, 4, 7, 7, 4, 7, 7, 7, 7, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 4, 4, 3, 3, 4, 7, 7] 
dagC2.txt 3_2x4.txt True 0.19680851063829788 0.3 573.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 3, 7, 3, 7, 4, 7, 7, 7, 7, 7, 4, 7, 7, 4, 7, 7, 7, 7, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 4, 4, 3, 3, 4, 7, 7] 
dagC2.txt 3_2x4.txt True 0.19680851063829788 0.4 573.0 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 3, 7, 3, 7, 4, 7, 7, 7, 7, 7, 4, 7, 7, 4, 7, 7, 7, 7, 4, 4, 7, 7, 7, 4, 4, 7, 4, 4, 4, 4, 3, 3, 4, 7, 7] 
dagC2.txt 3_2x4.txt True 0.4734042553191489 0.5 479.0 [1, 3, 3, 4, 3, 4, 3, 4, 4, 4, 3, 6, 3, 5, 3, 3, 4, 3, 4, 1, 4, 3, 2, 4, 3, 0, 3, 0, 5, 1, 3, 4, 4, 3, 4, 2, 4, 3, 7, 3, 1, 4, 1, 4, 2, 4, 5, 5, 6, 1, 4, 7, 6, 7, 2, 0, 0, 1, 5, 7] 
dagC2.txt 3_2x4.txt True 0.5904255319148937 0.6 251.0 [1, 0, 2, 4, 6, 6, 3, 0, 4, 4, 2, 5, 2, 6, 0, 1, 4, 3, 4, 6, 6, 7, 0, 4, 2, 3, 0, 1, 6, 1, 1, 0, 3, 2, 0, 2, 5, 6, 7, 3, 1, 4, 1, 5, 2, 5, 6, 4, 5, 0, 4, 7, 5, 7, 2, 3, 3, 7, 6, 7] 
dagC2.txt 3_2x4.txt True 0.5904255319148937 0.7 251.0 [1, 0, 2, 4, 6, 6, 3, 0, 4, 4, 2, 5, 2, 6, 0, 1, 4, 3, 4, 6, 6, 7, 0, 4, 2, 3, 0, 1, 6, 1, 1, 0, 3, 2, 0, 2, 5, 6, 7, 3, 1, 4, 1, 5, 2, 5, 6, 4, 5, 0, 4, 7, 5, 7, 2, 3, 3, 7, 6, 7] 
dagC2.txt 3_2x4.txt True 0.5904255319148937 1 251.0 [1, 0, 2, 4, 6, 6, 3, 0, 4, 4, 2, 5, 2, 6, 0, 1, 4, 3, 4, 6, 6, 7, 0, 4, 2, 3, 0, 1, 6, 1, 1, 0, 3, 2, 0, 2, 5, 6, 7, 3, 1, 4, 1, 5, 2, 5, 6, 4, 5, 0, 4, 7, 5, 7, 2, 3, 3, 7, 6, 7] 
