triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.16 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.17 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.18 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.19 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.2 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.25 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.3 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.35 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.4 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.09666666666666666 0.45 3689.75 [5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 5, 4, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 0, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 2, 1, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5] 
triadag25_7.txt 3_2x4.txt True 0.37 0.5 967.5 [5, 1, 5, 2, 5, 3, 2, 1, 1, 1, 3, 2, 0, 7, 3, 7, 1, 7, 5, 2, 3, 1, 5, 3, 1, 5, 5, 2, 5, 3, 2, 1, 1, 1, 3, 2, 0, 7, 3, 7, 1, 7, 5, 2, 3, 1, 5, 5, 1, 5, 2, 5, 3, 2, 1, 1, 1, 3, 2, 0, 7, 3, 7, 1, 7, 5, 2, 3, 1, 5, 5, 5, 1, 5, 3, 2, 1, 1, 1, 3, 2, 0, 7, 5, 7, 1, 7, 5, 2, 3, 1, 5, 5, 5, 1, 3, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1, 1, 2, 7, 1, 1, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 2, 7, 4, 3, 7, 7, 7, 1, 3, 7, 7, 7, 1, 0, 7, 0, 7, 3, 7, 3, 3, 3, 7, 7, 7, 7, 3, 7, 7, 7, 7, 0, 3, 0, 7, 3, 7, 3, 3, 7, 7, 7, 7, 3, 3, 3, 7, 7, 3, 3, 5, 3, 3, 3, 3, 3, 7, 7, 7, 3, 3, 3, 7, 7, 3, 3, 5, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 5, 4, 4, 3, 3, 4, 3, 3, 3, 3, 3, 4, 3, 3, 5, 4, 4, 3, 5, 3, 3, 3, 3, 7, 4, 3, 3, 5, 4, 4, 3, 5, 5, 5, 5, 1, 4, 1, 1, 5, 1, 5, 5, 5, 5, 5, 1, 5, 1, 1, 5, 1, 5, 5, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 7, 7, 7, 7, 5, 7, 5, 5, 7, 7, 7, 7, 6, 7, 4, 5, 5, 5, 6, 6, 5, 5, 5, 5, 5, 6, 5, 5, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6] 
triadag25_7.txt 3_2x4.txt True 0.43833333333333335 0.55 991.0 [5, 3, 5, 5, 5, 5, 3, 6, 3, 3, 5, 6, 7, 7, 3, 3, 7, 6, 1, 5, 7, 6, 7, 2, 3, 7, 5, 5, 5, 5, 3, 6, 3, 3, 5, 6, 7, 7, 3, 3, 7, 6, 1, 5, 7, 6, 7, 2, 3, 7, 5, 7, 7, 7, 6, 3, 3, 3, 6, 7, 7, 3, 3, 7, 6, 1, 7, 7, 3, 7, 2, 3, 7, 7, 7, 7, 6, 3, 3, 3, 6, 7, 7, 3, 3, 7, 6, 1, 7, 7, 3, 7, 2, 3, 7, 5, 7, 7, 2, 5, 7, 7, 5, 5, 2, 5, 7, 5, 5, 7, 7, 5, 5, 7, 5, 5, 7, 7, 2, 5, 7, 7, 5, 5, 2, 5, 7, 5, 5, 7, 7, 5, 5, 7, 5, 5, 5, 1, 1, 7, 5, 5, 7, 1, 5, 7, 1, 1, 5, 1, 5, 1, 7, 5, 3, 1, 1, 7, 5, 5, 7, 1, 5, 2, 1, 1, 4, 1, 5, 1, 7, 5, 3, 5, 7, 5, 5, 2, 3, 3, 2, 3, 3, 4, 5, 5, 2, 3, 3, 7, 7, 5, 5, 2, 3, 3, 2, 3, 3, 4, 5, 5, 2, 3, 3, 7, 7, 1, 7, 7, 1, 4, 1, 7, 4, 5, 4, 1, 1, 7, 7, 1, 7, 7, 1, 4, 1, 7, 4, 5, 4, 1, 1, 7, 1, 7, 4, 1, 4, 1, 7, 4, 5, 4, 1, 1, 7, 3, 1, 1, 1, 0, 1, 5, 5, 4, 1, 1, 5, 3, 1, 3, 0, 3, 5, 5, 4, 3, 3, 5, 3, 3, 0, 3, 5, 5, 4, 3, 3, 3, 1, 3, 3, 3, 3, 4, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 3, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0] 
triadag25_7.txt 3_2x4.txt True 0.46166666666666667 0.6 968.25 [5, 2, 5, 7, 5, 5, 2, 5, 3, 6, 3, 3, 2, 3, 5, 3, 5, 2, 3, 7, 3, 3, 5, 5, 7, 3, 5, 7, 5, 5, 2, 5, 3, 6, 3, 3, 2, 3, 5, 3, 5, 2, 3, 7, 3, 3, 5, 5, 7, 3, 7, 3, 3, 3, 4, 3, 1, 3, 1, 4, 3, 1, 3, 5, 2, 2, 7, 7, 7, 7, 3, 7, 1, 3, 3, 3, 4, 3, 1, 3, 1, 4, 3, 1, 3, 5, 2, 5, 7, 7, 7, 7, 3, 7, 1, 7, 2, 1, 5, 7, 6, 1, 6, 6, 7, 4, 5, 6, 7, 7, 5, 7, 1, 7, 7, 7, 2, 1, 5, 7, 6, 1, 6, 6, 7, 4, 5, 6, 7, 7, 5, 7, 1, 7, 7, 7, 7, 5, 7, 6, 7, 5, 7, 7, 4, 5, 7, 7, 7, 7, 3, 7, 7, 7, 5, 7, 7, 7, 4, 5, 5, 5, 4, 7, 7, 7, 7, 4, 3, 5, 6, 7, 5, 5, 1, 4, 5, 5, 5, 3, 3, 5, 5, 1, 1, 3, 6, 6, 5, 7, 1, 4, 5, 5, 5, 3, 3, 5, 5, 1, 1, 1, 6, 6, 5, 7, 4, 3, 7, 7, 7, 3, 5, 1, 7, 5, 1, 3, 3, 3, 3, 3, 7, 7, 7, 3, 4, 1, 7, 5, 1, 3, 3, 3, 5, 3, 1, 3, 3, 4, 1, 3, 5, 1, 3, 3, 3, 5, 1, 5, 5, 0, 1, 5, 5, 0, 5, 5, 1, 5, 5, 5, 0, 1, 5, 5, 0, 5, 5, 1, 5, 0, 1, 7, 5, 0, 1, 5, 7, 5, 1, 1, 7, 5, 0, 1, 5, 7, 5, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1] 
